날짜,지수
2020-04-20,79.92
2020-04-21,80.62
2020-04-22,83.45
2020-04-23,82.48
2020-04-24,79.78
2020-04-27,81.0
2020-04-28,82.81
2020-04-29,84.0
2020-05-04,81.73
2020-05-06,82.91
2020-05-07,82.61
2020-05-08,82.82
2020-05-11,81.7
2020-05-12,79.94
2020-05-13,80.16
2020-05-14,78.94
2020-05-15,79.55
2020-05-18,79.84
2020-05-19,81.94
2020-05-20,82.62
2020-05-21,82.18
2020-05-22,81.51
2020-05-25,81.59
2020-05-26,84.52
2020-05-27,86.37
2020-05-28,84.47
2020-05-29,86.23
2020-06-01,87.18
2020-06-02,88.72
2020-06-03,90.0
2020-06-04,88.75
2020-06-05,90.29
2020-06-08,89.36
2020-06-09,89.08
2020-06-10,89.12
2020-06-11,87.22
2020-06-12,83.94
2020-06-15,78.87
2020-06-16,82.94
2020-06-17,82.3
2020-06-18,82.05
2020-06-19,83.46
2020-06-22,84.09
2020-06-23,82.69
2020-06-24,84.01
2020-06-25,81.97
2020-06-26,81.6
2020-06-29,79.79
2020-06-30,80.95
2020-07-01,81.38
2020-07-02,82.52
2020-07-03,83.53
2020-07-06,84.12
2020-07-07,83.46
2020-07-08,83.8
2020-07-09,83.68
2020-07-10,82.42
2020-07-13,84.52
2020-07-14,84.89
2020-07-15,86.44
2020-07-16,87.73
2020-07-17,86.92
2020-07-20,87.95
2020-07-21,87.41
2020-07-22,87.82
2020-07-23,86.25
2020-07-24,86.41
2020-07-27,86.36
2020-07-28,86.02
2020-07-29,85.86
2020-07-30,86.08
2020-07-31,85.79
2020-08-03,85.54
2020-08-04,88.59
2020-08-05,87.66
2020-08-06,87.85
2020-08-07,88.13
2020-08-10,88.27
2020-08-11,91.08
2020-08-12,91.13
2020-08-13,90.06
2020-08-14,89.42
2020-08-18,84.77
2020-08-19,85.21
2020-08-20,81.79
2020-08-21,82.55
2020-08-24,82.49
2020-08-25,84.3
2020-08-26,84.56
2020-08-27,83.15
2020-08-28,86.97
2020-08-31,85.82
2020-09-01,89.1
2020-09-02,88.69
2020-09-03,88.14
2020-09-04,87.35
2020-09-07,89.85
2020-09-08,89.13
2020-09-09,88.34
2020-09-10,88.1
2020-09-11,88.12
2020-09-14,88.74
2020-09-15,88.3
2020-09-16,88.58
2020-09-17,87.3
2020-09-18,87.59
2020-09-21,86.5
2020-09-22,84.49
2020-09-23,84.38
2020-09-24,81.38
2020-09-25,81.58
2020-09-28,82.02
2020-09-29,82.89
2020-10-05,84.48
2020-10-06,84.42
2020-10-07,84.82
2020-10-08,84.85
2020-10-12,85.29
2020-10-13,85.08
2020-10-14,84.37
2020-10-15,85.37
2020-10-16,85.99
2020-10-19,86.42
2020-10-20,86.87
2020-10-21,87.49
2020-10-22,87.89
2020-10-23,88.62
2020-10-26,88.02
2020-10-27,86.7
2020-10-28,88.41
2020-10-29,86.56
2020-10-30,85.12
2020-11-02,85.92
2020-11-03,86.6
2020-11-04,86.78
2020-11-05,87.39
2020-11-06,87.02
2020-11-09,89.6
2020-11-10,91.48
2020-11-11,93.56
2020-11-12,92.24
2020-11-13,92.23
2020-11-16,94.96
2020-11-17,95.43
2020-11-18,95.91
2020-11-19,94.86
2020-11-20,95.47
2020-11-23,95.62
2020-11-24,96.61
2020-11-25,96.7
2020-11-26,96.46
2020-11-27,97.32
2020-11-30,94.72
2020-12-01,95.64
2020-12-02,95.87
2020-12-03,96.82
2020-12-04,100.37
2020-12-07,101.1
2020-12-08,99.84
2020-12-09,102.8
2020-12-10,107.16
2020-12-11,109.1
2020-12-14,106.99
2020-12-15,105.57
2020-12-16,105.4
2020-12-17,104.23
2020-12-18,106.85
2020-12-21,106.99
2020-12-22,103.82
2020-12-23,102.99
2020-12-24,104.33
2020-12-28,102.52
2020-12-29,102.82
2020-12-30,106.2
2021-01-04,107.37
2021-01-05,111.74
2021-01-06,111.96
2021-01-07,113.65
2021-01-08,113.86
2021-01-11,115.04
2021-01-12,116.54
2021-01-13,116.15
2021-01-14,117.19
2021-01-15,114.71
2021-01-18,115.93
2021-01-19,120.44
2021-01-20,120.31
2021-01-21,120.08
2021-01-22,118.98
2021-01-25,119.08
2021-01-26,116.13
2021-01-27,113.81
2021-01-28,112.8
2021-01-29,107.25
2021-02-01,113.62
2021-02-02,114.86
2021-02-03,118.43
2021-02-04,115.3
2021-02-05,114.68
2021-02-08,114.57
2021-02-09,113.65
2021-02-10,114.26
2021-02-15,114.27
2021-02-16,114.38
2021-02-17,113.4
2021-02-18,111.8
2021-02-19,112.4
2021-02-22,110.99
2021-02-23,111.04
2021-02-24,106.9
2021-02-25,110.83
2021-02-26,107.65
2021-03-02,107.5
2021-03-03,108.41
2021-03-04,107.31
2021-03-05,105.82
2021-03-08,105.07
2021-03-09,107.29
2021-03-10,105.51
2021-03-11,107.5
2021-03-12,110.41
2021-03-15,113.24
2021-03-16,114.31
2021-03-17,114.24
2021-03-18,113.99
2021-03-19,113.47
2021-03-22,114.95
2021-03-23,116.4
2021-03-24,116.02
2021-03-25,116.89
2021-03-26,118.74
2021-03-29,119.65
2021-03-30,117.71
2021-03-31,118.68
2021-04-01,117.07
2021-04-02,117.07
2021-04-05,118.34
2021-04-06,118.62
2021-04-07,119.13
2021-04-08,123.69
2021-04-09,123.45
2021-04-12,122.54
2021-04-13,121.16
2021-04-14,122.58
2021-04-15,123.26
2021-04-16,123.9
2021-04-19,124.76
2021-04-20,127.54
2021-04-21,126.08
2021-04-22,126.55
2021-04-23,126.81
2021-04-26,129.06
2021-04-27,130.87
2021-04-28,129.18
2021-04-29,131.4
2021-04-30,127.11
2021-05-03,125.96
2021-05-04,125.65
2021-05-06,129.11
2021-05-07,132.73
2021-05-10,133.84
2021-05-11,134.73
2021-05-12,130.37
2021-05-13,129.62
2021-05-14,130.49
2021-05-17,128.93
2021-05-18,132.43
2021-05-20,132.32
2021-05-21,130.01
2021-05-24,130.21
2021-05-25,129.09
2021-05-26,130.97
2021-05-27,134.7
2021-05-28,135.22
2021-05-31,137.46
2021-06-01,137.04
