날짜,지수
2020-04-20,2970.26
2020-04-21,2926.6
2020-04-22,2891.35
2020-04-23,2902.85
2020-04-24,2898.54
2020-04-27,2913.45
2020-04-28,2926.7
2020-04-29,3011.6
2020-05-04,2926.62
2020-05-06,2958.93
2020-05-07,2964.19
2020-05-08,2982.18
2020-05-11,2937.46
2020-05-12,2862.77
2020-05-13,2893.54
2020-05-14,2835.41
2020-05-15,2840.54
2020-05-18,2855.72
2020-05-19,2969.75
2020-05-20,2950.37
2020-05-21,2974.67
2020-05-22,2906.84
2020-05-25,2901.08
2020-05-26,2975.67
2020-05-27,3043.93
2020-05-28,3040.06
2020-05-29,3049.62
2020-06-01,3069.46
2020-06-02,3133.73
2020-06-03,3345.62
2020-06-04,3330.97
2020-06-05,3316.85
2020-06-08,3337.38
2020-06-09,3294.95
2020-06-10,3298.55
2020-06-11,3251.04
2020-06-12,3121.96
2020-06-15,2900.22
2020-06-16,3090.54
2020-06-17,3062.08
2020-06-18,3056.59
2020-06-19,3096.92
2020-06-22,3033.55
2020-06-23,2989.85
2020-06-24,3018.74
2020-06-25,2937.17
2020-06-26,2970.15
2020-06-29,2875.75
2020-06-30,2872.64
2020-07-01,2938.24
2020-07-02,2992.76
2020-07-03,3014.85
2020-07-06,3045.93
2020-07-07,3047.82
2020-07-08,3102.46
2020-07-09,3096.4
2020-07-10,3017.01
2020-07-13,3071.62
2020-07-14,3047.21
2020-07-15,3080.09
2020-07-16,3084.54
2020-07-17,3091.36
2020-07-20,3122.6
2020-07-21,3172.76
2020-07-22,3294.93
2020-07-23,3261.9
2020-07-24,3223.35
2020-07-27,3318.31
2020-07-28,3361.07
2020-07-29,3359.59
2020-07-30,3316.53
2020-07-31,3247.79
2020-08-03,3225.73
2020-08-04,3261.05
2020-08-05,3280.49
2020-08-06,3399.24
2020-08-07,3379.02
2020-08-10,3394.63
2020-08-11,3506.07
2020-08-12,3496.44
2020-08-13,3477.87
2020-08-14,3497.67
2020-08-18,3361.83
2020-08-19,3358.49
