날짜,지수
2020-04-20,298.74
2020-04-21,294.77
2020-04-22,294.53
2020-04-23,296.63
2020-04-24,292.12
2020-04-27,307.16
2020-04-28,310.7
2020-04-29,315.05
2020-05-04,304.83
2020-05-06,308.39
2020-05-07,308.55
2020-05-08,310.66
2020-05-11,307.62
2020-05-12,303.17
2020-05-13,305.45
2020-05-14,302.04
2020-05-15,305.52
2020-05-18,307.23
2020-05-19,315.22
2020-05-20,317.17
2020-05-21,318.69
2020-05-22,312.89
2020-05-25,317.09
2020-05-26,324.15
2020-05-27,325.84
2020-05-28,326.21
2020-05-29,322.52
2020-06-01,328.55
2020-06-02,339.84
2020-06-03,352.63
2020-06-04,347.65
2020-06-05,354.64
2020-06-08,354.19
2020-06-09,352.92
2020-06-10,350.23
2020-06-11,343.78
2020-06-12,337.13
2020-06-15,327.82
2020-06-16,344.55
2020-06-17,346.13
2020-06-18,343.94
2020-06-19,341.08
2020-06-22,336.66
2020-06-23,337.38
2020-06-24,336.24
2020-06-25,327.3
2020-06-26,330.67
2020-06-29,323.94
2020-06-30,325.06
2020-07-01,328.97
2020-07-02,328.41
2020-07-03,328.18
2020-07-06,330.64
2020-07-07,328.11
2020-07-08,324.97
2020-07-09,323.23
2020-07-10,315.81
2020-07-13,323.6
2020-07-14,322.64
2020-07-15,326.67
2020-07-16,329.52
2020-07-17,329.13
2020-07-20,330.58
2020-07-21,332.93
2020-07-22,333.39
2020-07-23,329.3
2020-07-24,326.95
2020-07-27,329.06
2020-07-28,330.87
2020-07-29,331.46
2020-07-30,331.72
2020-07-31,327.8
2020-08-03,326.97
2020-08-04,335.19
2020-08-05,340.86
2020-08-06,344.43
2020-08-07,344.44
2020-08-10,355.62
2020-08-11,361.55
2020-08-12,368.41
2020-08-13,375.22
2020-08-14,366.17
2020-08-18,349.12
2020-08-19,353.85
2020-08-20,338.54
2020-08-21,343.13
2020-08-24,344.41
2020-08-25,355.66
2020-08-26,351.47
2020-08-27,345.04
2020-08-28,349.41
2020-08-31,344.88
2020-09-01,350.64
2020-09-02,353.53
2020-09-03,352.84
2020-09-04,347.95
2020-09-07,352.16
2020-09-08,350.81
2020-09-09,346.64
2020-09-10,347.76
2020-09-11,348.74
2020-09-14,352.44
2020-09-15,352.82
2020-09-16,351.62
2020-09-17,349.74
2020-09-18,348.02
2020-09-21,344.25
2020-09-22,336.3
2020-09-23,335.39
2020-09-24,327.62
2020-09-25,329.65
2020-09-28,333.98
2020-09-29,337.54
2020-10-05,343.69
2020-10-06,343.49
2020-10-07,346.12
2020-10-08,347.58
2020-10-12,348.79
2020-10-13,346.61
2020-10-14,341.51
2020-10-15,339.46
2020-10-16,338.37
2020-10-19,344.05
2020-10-20,344.03
2020-10-21,349.46
2020-10-22,354.4
2020-10-23,359.82
2020-10-26,355.22
2020-10-27,349.29
2020-10-28,353.53
2020-10-29,347.86
2020-10-30,339.14
2020-11-02,348.02
2020-11-03,353.03
2020-11-04,349.84
2020-11-05,355.27
2020-11-06,354.74
2020-11-09,358.7
2020-11-10,367.44
2020-11-11,378.84
2020-11-12,374.29
2020-11-13,370.05
2020-11-16,378.92
2020-11-17,379.83
2020-11-18,382.16
2020-11-19,381.84
2020-11-20,381.75
2020-11-23,386.71
2020-11-24,387.74
2020-11-25,390.4
2020-11-26,390.47
2020-11-27,388.54
2020-11-30,375.54
2020-12-01,384.83
2020-12-02,391.86
2020-12-03,392.29
2020-12-04,395.25
2020-12-07,392.74
2020-12-08,388.41
2020-12-09,392.16
2020-12-10,392.6
2020-12-11,401.91
2020-12-14,398.65
2020-12-15,397.11
2020-12-16,399.22
2020-12-17,398.24
2020-12-18,398.68
2020-12-21,399.42
2020-12-22,397.13
2020-12-23,396.95
2020-12-24,401.32
2020-12-28,401.83
2020-12-29,390.4
2020-12-30,392.51
2021-01-04,393.43
2021-01-05,400.09
2021-01-06,406.24
2021-01-07,424.08
2021-01-08,424.57
2021-01-11,419.8
2021-01-12,418.35
2021-01-13,425.99
2021-01-14,430.05
2021-01-15,422.04
2021-01-18,411.98
2021-01-19,417.73
2021-01-20,421.27
2021-01-21,426.34
2021-01-22,416.89
2021-01-25,424.85
2021-01-26,415.01
2021-01-27,413.51
2021-01-28,404.68
2021-01-29,390.76
2021-02-01,402.86
2021-02-02,405.75
2021-02-03,407.31
2021-02-04,401.44
2021-02-05,408.37
2021-02-08,411.94
2021-02-09,411.67
2021-02-10,415.12
2021-02-15,415.37
2021-02-16,416.52
2021-02-17,415.62
2021-02-18,407.19
2021-02-19,407.32
2021-02-22,407.1
2021-02-23,405.85
2021-02-24,397.91
2021-02-25,407.6
2021-02-26,397.98
2021-03-02,403.23
2021-03-03,409.29
2021-03-04,406.93
2021-03-05,406.22
2021-03-08,410.07
2021-03-09,413.38
2021-03-10,410.56
2021-03-11,414.35
2021-03-12,415.35
2021-03-15,416.62
2021-03-16,417.4
2021-03-17,415.51
2021-03-18,414.88
2021-03-19,415.56
2021-03-22,415.89
2021-03-23,411.76
2021-03-24,409.47
2021-03-25,415.62
2021-03-26,422.24
2021-03-29,421.73
2021-03-30,428.7
2021-03-31,433.02
2021-04-01,430.53
2021-04-02,428.24
2021-04-05,429.42
2021-04-06,429.12
2021-04-07,435.48
2021-04-08,435.06
2021-04-09,435.81
2021-04-12,439.04
2021-04-13,439.07
2021-04-14,442.12
2021-04-15,445.96
2021-04-16,444.28
2021-04-19,446.69
2021-04-20,453.1
2021-04-21,449.95
2021-04-22,452.87
2021-04-23,457.05
2021-04-26,465.83
2021-04-27,466.57
2021-04-28,468.23
2021-04-29,464.97
2021-04-30,466.36
2021-05-03,460.81
2021-05-04,459.96
2021-05-06,475.95
2021-05-07,479.96
2021-05-10,488.86
2021-05-11,489.11
2021-05-12,478.11
2021-05-13,480.68
2021-05-14,477.86
2021-05-17,473.47
2021-05-18,479.6
2021-05-20,474.51
2021-05-21,467.83
2021-05-24,469.56
2021-05-25,474.7
2021-05-26,474.25
2021-05-27,470.49
2021-05-28,475.16
2021-05-31,476.8
2021-06-01,479.66
2021-06-02,482.28
2021-06-03,481.03
2021-06-04,479.12
2021-06-07,480.72
2021-06-08,480.91
2021-06-09,474.88
2021-06-10,474.72
2021-06-11,475.0
2021-06-14,471.1
2021-06-15,472.08
2021-06-16,478.45
2021-06-17,477.15
2021-06-18,473.78
2021-06-21,465.86
2021-06-22,471.33
2021-06-23,470.78
2021-06-24,474.1
2021-06-25,483.01
2021-06-28,484.88
2021-06-29,477.88
2021-06-30,477.37
2021-07-01,472.66
2021-07-02,474.01
2021-07-05,473.05
2021-07-06,472.56
2021-07-07,466.21
2021-07-08,462.57
2021-07-09,453.36
2021-07-12,461.3
2021-07-13,466.82
2021-07-14,463.35
2021-07-15,465.36
2021-07-16,466.35
2021-07-19,459.38
2021-07-20,455.9
2021-07-21,455.38
2021-07-22,463.22
2021-07-23,463.66
2021-07-26,458.04
2021-07-27,459.43
2021-07-28,462.5
2021-07-29,464.4
2021-07-30,457.93
2021-08-02,457.09
2021-08-03,458.42
2021-08-04,464.98
2021-08-05,463.71
2021-08-06,463.97
2021-08-09,469.52
2021-08-10,462.71
2021-08-11,467.41
2021-08-12,466.16
2021-08-13,465.44
2021-08-17,472.01
2021-08-18,471.84
2021-08-19,465.38
2021-08-20,458.61
2021-08-23,462.86
2021-08-24,468.46
2021-08-25,468.84
2021-08-26,471.02
2021-08-27,473.28
2021-08-30,467.04
2021-08-31,473.34
2021-09-01,479.84
2021-09-02,473.81
2021-09-03,474.14
2021-09-06,470.25
2021-09-07,465.13
2021-09-08,467.24
2021-09-09,462.3
2021-09-10,462.45
2021-09-13,459.5
2021-09-14,467.57
2021-09-15,466.33
2021-09-16,462.29
2021-09-17,463.22
2021-09-23,458.84
2021-09-24,462.95
2021-09-27,462.62
2021-09-28,465.75
2021-09-29,461.07
2021-09-30,465.53
2021-10-01,458.15
2021-10-05,451.06
2021-10-06,447.19
2021-10-07,454.3
2021-10-08,448.68
2021-10-12,445.36
2021-10-13,448.11
2021-10-14,453.27
2021-10-15,457.47
2021-10-18,458.56
2021-10-19,460.97
2021-10-20,461.17
2021-10-21,463.6
2021-10-22,461.96
2021-10-25,465.92
2021-10-26,469.19
2021-10-27,466.05
2021-10-28,459.04
2021-10-29,453.19
2021-11-01,455.89
2021-11-02,459.1
2021-11-03,451.1
2021-11-04,447.61
2021-11-05,442.61
2021-11-08,439.03
2021-11-09,438.13
2021-11-10,436.06
2021-11-11,431.58
2021-11-12,442.41
2021-11-15,446.61
2021-11-16,449.37
2021-11-17,444.31
2021-11-18,442.16
2021-11-19,443.29
2021-11-22,442.69
2021-11-23,444.63
2021-11-24,450.13
2021-11-25,456.05
2021-11-26,449.85
2021-11-29,449.43
2021-11-30,431.01
2021-12-01,431.42
2021-12-02,440.55
2021-12-03,447.55
2021-12-06,447.01
2021-12-07,448.91
2021-12-08,450.42
2021-12-09,450.73
2021-12-10,446.94
2021-12-13,446.12
2021-12-14,440.83
2021-12-15,440.64
2021-12-16,442.17
2021-12-17,447.87
2021-12-20,441.22
2021-12-21,441.53
2021-12-22,441.33
2021-12-23,442.17
2021-12-24,442.2
2021-12-27,440.89
2021-12-28,446.47
2021-12-29,434.18
2021-12-30,430.6
2022-01-03,432.96
2022-01-04,434.88
2022-01-05,431.01
2022-01-06,425.06
2022-01-07,427.79
2022-01-10,429.31
2022-01-11,429.32
2022-01-12,437.86
2022-01-13,437.04
2022-01-14,431.75
2022-01-17,425.99
2022-01-18,422.46
2022-01-19,421.54
2022-01-20,420.22
2022-01-21,422.87
2022-01-24,414.57
2022-01-25,401.79
2022-01-26,405.28
2022-01-27,393.74
2022-01-28,399.99
2022-02-03,407.27
2022-02-04,415.29
2022-02-07,415.11
2022-02-08,416.63
2022-02-09,423.85
2022-02-10,422.35
2022-02-11,420.84
2022-02-14,417.34
2022-02-15,412.98
2022-02-16,420.88
2022-02-17,425.1
2022-02-18,426.38
2022-02-21,424.4
