날짜,지수
2020-04-20,565.95
2020-04-21,553.73
2020-04-22,550.64
2020-04-23,550.54
2020-04-24,542.13
2020-04-27,556.0
2020-04-28,559.28
2020-04-29,563.26
2020-05-04,552.07
2020-05-06,562.3
2020-05-07,562.69
2020-05-08,567.8
2020-05-11,578.75
2020-05-12,566.47
2020-05-13,568.83
2020-05-14,564.05
2020-05-15,563.84
2020-05-18,562.97
2020-05-19,581.66
2020-05-20,589.48
2020-05-21,598.0
2020-05-22,581.12
2020-05-25,586.27
2020-05-26,592.1
2020-05-27,608.35
2020-05-28,594.97
2020-05-29,607.97
2020-06-01,616.38
2020-06-02,634.26
2020-06-03,647.15
2020-06-04,648.92
2020-06-05,654.02
2020-06-08,672.26
2020-06-09,663.36
2020-06-10,665.3
2020-06-11,658.2
2020-06-12,631.83
2020-06-15,588.7
2020-06-16,644.16
2020-06-17,641.46
2020-06-18,644.38
2020-06-19,639.16
2020-06-22,629.54
2020-06-23,628.65
2020-06-24,630.53
2020-06-25,618.01
2020-06-26,617.88
2020-06-29,609.3
2020-06-30,620.66
2020-07-01,615.94
2020-07-02,623.44
2020-07-03,628.71
2020-07-06,636.54
2020-07-07,638.14
2020-07-08,645.01
2020-07-09,646.24
2020-07-10,630.41
2020-07-13,640.25
2020-07-14,632.87
2020-07-15,637.92
2020-07-16,636.87
2020-07-17,643.69
2020-07-20,647.79
2020-07-21,692.44
2020-07-22,694.3
2020-07-23,687.85
2020-07-24,679.39
2020-07-27,700.33
2020-07-28,710.39
2020-07-29,719.35
2020-07-30,734.69
2020-07-31,721.31
2020-08-03,704.35
2020-08-04,713.73
2020-08-05,715.53
2020-08-06,719.14
2020-08-07,724.97
2020-08-10,740.17
2020-08-11,742.58
2020-08-12,768.19
2020-08-13,779.0
2020-08-14,788.09
2020-08-18,751.23
2020-08-19,772.36
2020-08-20,752.92
2020-08-21,777.53
2020-08-24,760.72
2020-08-25,779.48
2020-08-26,776.12
2020-08-27,763.68
2020-08-28,797.77
2020-08-31,828.57
2020-09-01,832.36
2020-09-02,846.68
2020-09-03,842.5
2020-09-04,844.59
2020-09-07,857.78
2020-09-08,835.71
2020-09-09,817.77
2020-09-10,828.4
2020-09-11,824.6
2020-09-14,831.58
2020-09-15,834.84
2020-09-16,839.42
2020-09-17,850.43
2020-09-18,833.87
2020-09-21,836.33
2020-09-22,809.7
2020-09-23,802.99
2020-09-24,780.95
2020-09-25,775.31
2020-09-28,797.29
2020-09-29,801.2
2020-10-05,830.3
2020-10-06,832.05
2020-10-07,839.13
2020-10-08,840.79
2020-10-12,838.61
2020-10-13,825.77
2020-10-14,815.88
2020-10-15,807.33
2020-10-16,803.24
2020-10-19,827.21
2020-10-20,826.62
2020-10-21,845.36
2020-10-22,838.47
2020-10-23,834.96
2020-10-26,811.42
2020-10-27,806.11
2020-10-28,822.5
2020-10-29,813.52
2020-10-30,793.76
2020-11-02,812.56
2020-11-03,829.92
2020-11-04,820.7
2020-11-05,839.17
2020-11-06,845.69
2020-11-09,880.09
2020-11-10,896.68
2020-11-11,911.07
2020-11-12,913.96
2020-11-13,913.28
2020-11-16,906.42
2020-11-17,903.33
2020-11-18,900.42
2020-11-19,932.29
2020-11-20,933.89
2020-11-23,953.74
2020-11-24,957.9
2020-11-25,949.89
2020-11-26,954.44
2020-11-27,968.11
2020-11-30,952.04
2020-12-01,964.98
2020-12-02,952.04
2020-12-03,956.89
2020-12-04,938.07
2020-12-07,923.46
2020-12-08,929.42
2020-12-09,955.36
2020-12-10,956.96
2020-12-11,964.61
2020-12-14,954.04
2020-12-15,957.81
2020-12-16,965.82
2020-12-17,979.57
2020-12-18,964.16
2020-12-21,954.58
2020-12-22,934.48
2020-12-23,946.78
2020-12-24,949.3
2020-12-28,943.54
2020-12-29,950.75
2020-12-30,972.02
2021-01-04,984.02
2021-01-05,1005.11
2021-01-06,989.44
2021-01-07,1008.88
2021-01-08,1040.42
2021-01-11,1009.76
2021-01-12,1006.29
2021-01-13,1016.37
2021-01-14,1027.85
2021-01-15,1002.21
2021-01-18,994.98
2021-01-19,1018.61
2021-01-20,1033.76
2021-01-21,1040.45
