날짜,지수
2020-04-20,10130.54
2020-04-21,10061.48
2020-04-22,10042.19
2020-04-23,10237.68
2020-04-24,10052.67
2020-04-27,10440.49
2020-04-28,10476.79
2020-04-29,10438.3
2020-05-04,10046.85
2020-05-06,10184.48
2020-05-07,10133.56
2020-05-08,10279.22
2020-05-11,10263.49
2020-05-12,10078.3
2020-05-13,10233.59
2020-05-14,10329.99
2020-05-15,10468.56
2020-05-18,10390.11
2020-05-19,10416.98
2020-05-20,10411.98
2020-05-21,10296.05
2020-05-22,10196.56
2020-05-25,10167.46
2020-05-26,10264.47
2020-05-27,10293.9
2020-05-28,10186.63
2020-05-29,9876.75
2020-06-01,10054.06
2020-06-02,10569.12
2020-06-03,10846.62
2020-06-04,10719.47
2020-06-05,10774.18
2020-06-08,10744.73
2020-06-09,10853.23
2020-06-10,10831.97
2020-06-11,10529.72
2020-06-12,10098.17
2020-06-15,9670.3
2020-06-16,10079.69
2020-06-17,10075.26
2020-06-18,10045.45
2020-06-19,10022.31
2020-06-22,9911.3
2020-06-23,9957.0
2020-06-24,9969.55
2020-06-25,9631.27
2020-06-26,9641.38
2020-06-29,9432.16
2020-06-30,9503.05
2020-07-01,9634.88
2020-07-02,9741.87
2020-07-03,9797.65
2020-07-06,10001.24
2020-07-07,9902.27
2020-07-08,9897.33
2020-07-09,9922.84
2020-07-10,9612.86
2020-07-13,9788.03
2020-07-14,9820.2
2020-07-15,9869.88
2020-07-16,10086.35
2020-07-17,10045.48
2020-07-20,9946.76
2020-07-21,9999.09
2020-07-22,10086.76
2020-07-23,9846.21
2020-07-24,9788.68
2020-07-27,9838.04
2020-07-28,9857.84
2020-07-29,10026.74
2020-07-30,9932.4
2020-07-31,9806.15
2020-08-03,9652.98
2020-08-04,9724.44
2020-08-05,9640.66
2020-08-06,9880.28
2020-08-07,9750.47
2020-08-10,10163.21
2020-08-11,10569.3
2020-08-12,10971.52
2020-08-13,11984.9
2020-08-14,11515.16
2020-08-18,10750.99
2020-08-19,11268.87
2020-08-20,10672.27
2020-08-21,10696.1
2020-08-24,10738.52
2020-08-25,11008.38
2020-08-26,10848.31
2020-08-27,10714.02
2020-08-28,10865.66
2020-08-31,10929.66
2020-09-01,11392.08
2020-09-02,11304.06
2020-09-03,11240.48
2020-09-04,10936.97
2020-09-07,11061.27
2020-09-08,11173.36
2020-09-09,11132.69
2020-09-10,11079.44
2020-09-11,11318.33
2020-09-14,11471.34
2020-09-15,11431.7
2020-09-16,11378.32
2020-09-17,11224.7
2020-09-18,11214.18
2020-09-21,11102.04
2020-09-22,10796.64
2020-09-23,10744.54
2020-09-24,10683.06
2020-09-25,10600.51
2020-09-28,10748.25
2020-09-29,10919.65
2020-10-05,11016.94
2020-10-06,11037.51
2020-10-07,11168.88
2020-10-08,11125.47
2020-10-12,11088.18
2020-10-13,11003.97
2020-10-14,10915.02
2020-10-15,10784.35
2020-10-16,10781.68
2020-10-19,11085.02
2020-10-20,11064.94
2020-10-21,11156.61
2020-10-22,11512.66
2020-10-23,11700.5
2020-10-26,11782.5
2020-10-27,11656.54
2020-10-28,11612.37
2020-10-29,11343.28
2020-10-30,11067.19
2020-11-02,11315.79
2020-11-03,11431.57
2020-11-04,11265.5
2020-11-05,11332.08
2020-11-06,11261.93
2020-11-09,11385.47
2020-11-10,11870.85
2020-11-11,12056.22
2020-11-12,11843.59
2020-11-13,11886.14
2020-11-16,12069.04
2020-11-17,12118.62
2020-11-18,12356.43
2020-11-19,12610.25
2020-11-20,12525.23
2020-11-23,12732.6
2020-11-24,12762.94
2020-11-25,12595.47
2020-11-26,12565.9
2020-11-27,12443.73
2020-11-30,12033.64
2020-12-01,12188.74
2020-12-02,12409.27
2020-12-03,12409.67
2020-12-04,12369.3
2020-12-07,12205.48
2020-12-08,12143.75
2020-12-09,12176.52
2020-12-10,12179.88
2020-12-11,12602.16
2020-12-14,12643.85
2020-12-15,12731.03
2020-12-16,12933.46
2020-12-17,12857.38
2020-12-18,12820.04
2020-12-21,12778.44
2020-12-22,13000.14
2020-12-23,13019.92
2020-12-24,13169.81
2020-12-28,13124.51
2020-12-29,12667.85
2020-12-30,12660.89
2021-01-04,12412.61
2021-01-05,12463.95
2021-01-06,12499.99
2021-01-07,13142.49
2021-01-08,13175.47
2021-01-11,13019.87
2021-01-12,13012.59
2021-01-13,13260.03
2021-01-14,13388.91
2021-01-15,13112.74
2021-01-18,12617.24
2021-01-19,12751.04
2021-01-20,12581.02
2021-01-21,12704.7
2021-01-22,12447.79
2021-01-25,12604.5
2021-01-26,12375.82
2021-01-27,12206.31
2021-01-28,11972.11
2021-01-29,11596.24
2021-02-01,11694.24
2021-02-02,11898.06
2021-02-03,11819.16
2021-02-04,11604.97
2021-02-05,11739.62
2021-02-08,11887.73
2021-02-09,11991.2
2021-02-10,11892.98
2021-02-15,12026.92
2021-02-16,12030.26
2021-02-17,12425.78
2021-02-18,12185.21
2021-02-19,12254.89
2021-02-22,12773.27
2021-02-23,12690.81
2021-02-24,12276.34
2021-02-25,12553.37
2021-02-26,12416.04
2021-03-02,12815.9
2021-03-03,12923.85
2021-03-04,12829.08
2021-03-05,13118.82
2021-03-08,13223.4
2021-03-09,13409.55
2021-03-10,13420.29
2021-03-11,13299.21
2021-03-12,13142.03
2021-03-15,13323.52
2021-03-16,13263.66
2021-03-17,13249.83
2021-03-18,13104.15
2021-03-19,13047.37
2021-03-22,13089.03
2021-03-23,12924.48
2021-03-24,12807.13
2021-03-25,12934.57
2021-03-26,13025.15
2021-03-29,12964.0
2021-03-30,13241.29
2021-03-31,13359.53
2021-04-01,13259.52
2021-04-02,13142.31
2021-04-05,13187.48
2021-04-06,13169.88
2021-04-07,13234.02
2021-04-08,13240.59
2021-04-09,13144.86
2021-04-12,13116.7
2021-04-13,13140.02
2021-04-14,13424.4
2021-04-15,13420.25
2021-04-16,13423.5
2021-04-19,13533.59
2021-04-20,13797.0
2021-04-21,13559.52
2021-04-22,13761.67
2021-04-23,13898.71
2021-04-26,14163.98
2021-04-27,14203.31
2021-04-28,14251.28
2021-04-29,13992.72
2021-04-30,13932.97
2021-05-03,14184.84
2021-05-04,13951.37
2021-05-06,14460.73
2021-05-07,14634.91
2021-05-10,14562.72
2021-05-11,14721.11
2021-05-12,14542.46
2021-05-13,15033.35
2021-05-14,14775.02
2021-05-17,14504.82
2021-05-18,14594.12
2021-05-20,14420.23
2021-05-21,14232.53
2021-05-24,14381.84
2021-05-25,14417.26
2021-05-26,14468.08
2021-05-27,14334.93
2021-05-28,14406.34
2021-05-31,14452.17
2021-06-01,14506.22
2021-06-02,14685.45
2021-06-03,14542.13
2021-06-04,14547.03
2021-06-07,14518.68
2021-06-08,14593.44
2021-06-09,14455.09
2021-06-10,14276.97
2021-06-11,14198.0
2021-06-14,14103.68
2021-06-15,14089.14
2021-06-16,14307.77
2021-06-17,14325.1
2021-06-18,14158.54
2021-06-21,13946.83
2021-06-22,14101.87
2021-06-23,14185.22
2021-06-24,14185.03
2021-06-25,14653.4
2021-06-28,14806.58
2021-06-29,14569.68
2021-06-30,14555.99
2021-07-01,14422.28
2021-07-02,14630.87
2021-07-05,14475.7
2021-07-06,14507.36
2021-07-07,14297.49
2021-07-08,14188.18
2021-07-09,13906.87
2021-07-12,14144.99
2021-07-13,14318.81
2021-07-14,14179.22
2021-07-15,14275.48
2021-07-16,14376.12
2021-07-19,14137.99
2021-07-20,14056.86
2021-07-21,14084.38
2021-07-22,14398.11
2021-07-23,14289.68
2021-07-26,14091.08
2021-07-27,14110.81
2021-07-28,14222.32
2021-07-29,14341.35
2021-07-30,14251.62
2021-08-02,14263.25
2021-08-03,14362.19
2021-08-04,14488.18
2021-08-05,14563.58
2021-08-06,14492.87
2021-08-09,14407.55
2021-08-10,14336.17
2021-08-11,14506.37
2021-08-12,14394.89
2021-08-13,14448.14
2021-08-17,14630.36
2021-08-18,14477.22
2021-08-19,14067.79
2021-08-20,13770.73
2021-08-23,13958.08
2021-08-24,14269.06
2021-08-25,14385.5
2021-08-26,14510.41
2021-08-27,14510.53
2021-08-30,14237.09
2021-08-31,14420.14
2021-09-01,14538.93
2021-09-02,14631.61
2021-09-03,14674.18
2021-09-06,14665.4
2021-09-07,14594.09
2021-09-08,14792.71
2021-09-09,14665.07
2021-09-10,14805.95
2021-09-13,14784.81
2021-09-14,14934.13
2021-09-15,14846.4
2021-09-16,14664.3
2021-09-17,14594.91
2021-09-23,14560.07
2021-09-24,14634.92
2021-09-27,14679.57
2021-09-28,15008.08
2021-09-29,14832.8
2021-09-30,14991.54
2021-10-01,14934.23
2021-10-05,14946.55
2021-10-06,15203.69
2021-10-07,15078.52
2021-10-08,15030.26
2021-10-12,14885.2
2021-10-13,14825.12
2021-10-14,14883.32
2021-10-15,15007.21
2021-10-18,15013.09
2021-10-19,15099.39
2021-10-20,15144.39
2021-10-21,15194.19
2021-10-22,15041.8
2021-10-25,15094.79
2021-10-26,15093.06
2021-10-27,15083.01
2021-10-28,14556.89
2021-10-29,14226.97
2021-11-01,14370.26
2021-11-02,14495.35
2021-11-03,14381.91
2021-11-04,14320.77
2021-11-05,14169.27
2021-11-08,14264.53
2021-11-09,14119.88
2021-11-10,14062.31
2021-11-11,13792.01
2021-11-12,14030.93
2021-11-15,14113.2
2021-11-16,14231.02
2021-11-17,13832.86
2021-11-18,13697.26
2021-11-19,13693.35
2021-11-22,13742.01
2021-11-23,13826.01
2021-11-24,13910.63
2021-11-25,13721.12
2021-11-26,13375.29
2021-11-29,13231.07
2021-11-30,12831.37
2021-12-01,13039.7
2021-12-02,13423.0
2021-12-03,13630.37
2021-12-06,13627.85
2021-12-07,13758.85
2021-12-08,13706.35
2021-12-09,13725.28
2021-12-10,13733.21
2021-12-13,13734.56
2021-12-14,13703.6
2021-12-15,13754.63
2021-12-16,13831.85
2021-12-17,14102.29
2021-12-20,13897.07
2021-12-21,13924.66
2021-12-22,13919.61
2021-12-23,13902.22
2021-12-24,13949.55
2021-12-27,14004.08
2021-12-28,14134.15
2021-12-29,13416.98
2021-12-30,13285.27
2022-01-03,13399.3
2022-01-04,13719.53
2022-01-05,14012.44
2022-01-06,13981.53
2022-01-07,14196.11
2022-01-10,14745.66
2022-01-11,14592.88
2022-01-12,14841.66
2022-01-13,14920.14
2022-01-14,14724.85
2022-01-17,14620.92
2022-01-18,14644.91
2022-01-19,14859.08
2022-01-20,14563.41
2022-01-21,14691.28
2022-01-24,14436.11
2022-01-25,14067.72
2022-01-26,14228.57
2022-01-27,13775.61
2022-01-28,13705.46
2022-02-03,14345.6
2022-02-04,14517.6
2022-02-07,14580.98
2022-02-08,14555.21
2022-02-09,14745.36
2022-02-10,14655.78
2022-02-11,14512.83
2022-02-14,14256.63
2022-02-15,14008.83
2022-02-16,14244.83
2022-02-17,14295.66
2022-02-18,14327.44
2022-02-21,14116.68
2022-02-22,13731.69
2022-02-23,13815.63
2022-02-24,13557.99
2022-02-25,13584.07
2022-02-28,13520.54
2022-03-02,13244.83
2022-03-03,13414.54
2022-03-04,13321.16
2022-03-07,12926.5
2022-03-08,12791.58
2022-03-10,13096.78
2022-03-11,13163.82
2022-03-14,13262.46
2022-03-15,13215.07
2022-03-16,13337.84
2022-03-17,13472.0
2022-03-18,13691.4
