날짜,지수
2020-04-20,1345.69
2020-04-21,1325.62
2020-04-22,1401.06
2020-04-23,1379.25
2020-04-24,1351.73
2020-04-27,1357.02
2020-04-28,1357.52
2020-04-29,1368.26
2020-05-04,1354.98
2020-05-06,1368.24
2020-05-07,1382.14
2020-05-08,1392.84
2020-05-11,1373.6
2020-05-12,1354.56
2020-05-13,1380.74
2020-05-14,1360.98
2020-05-15,1388.41
2020-05-18,1415.84
2020-05-19,1419.75
2020-05-20,1429.96
2020-05-21,1436.46
2020-05-22,1438.38
2020-05-25,1459.41
2020-05-26,1485.39
2020-05-27,1473.75
2020-05-28,1449.06
2020-05-29,1438.23
2020-06-01,1482.36
2020-06-02,1498.21
2020-06-03,1506.31
2020-06-04,1519.34
2020-06-05,1539.72
2020-06-08,1541.04
2020-06-09,1539.68
2020-06-10,1540.6
2020-06-11,1528.85
2020-06-12,1506.1
2020-06-15,1422.02
2020-06-16,1528.26
2020-06-17,1549.16
2020-06-18,1556.06
2020-06-19,1590.09
2020-06-22,1610.58
2020-06-23,1600.68
2020-06-24,1613.85
2020-06-25,1600.04
2020-06-26,1594.7
2020-06-29,1564.39
2020-06-30,1559.16
2020-07-01,1562.15
2020-07-02,1578.45
2020-07-03,1608.75
2020-07-06,1617.31
2020-07-07,1596.05
2020-07-08,1602.58
2020-07-09,1659.33
2020-07-10,1632.71
2020-07-13,1647.45
2020-07-14,1630.0
2020-07-15,1623.83
2020-07-16,1606.99
2020-07-17,1615.07
2020-07-20,1605.44
2020-07-21,1595.21
2020-07-22,1598.42
2020-07-23,1613.01
2020-07-24,1612.75
2020-07-27,1640.54
2020-07-28,1633.93
2020-07-29,1639.55
2020-07-30,1633.13
2020-07-31,1653.77
2020-08-03,1675.17
2020-08-04,1688.86
2020-08-05,1752.06
2020-08-06,1797.34
2020-08-07,1853.46
2020-08-10,1881.97
2020-08-11,1887.06
2020-08-12,1890.06
2020-08-13,1914.05
2020-08-14,1872.81
2020-08-18,1778.42
2020-08-19,1810.4
2020-08-20,1740.68
2020-08-21,1757.33
2020-08-24,1780.89
2020-08-25,1803.24
2020-08-26,1813.1
2020-08-27,1783.62
2020-08-28,1792.07
2020-08-31,1784.88
2020-09-01,1793.55
2020-09-02,1824.76
2020-09-03,1827.01
2020-09-04,1820.09
2020-09-07,1802.47
2020-09-08,1807.04
2020-09-09,1773.81
2020-09-10,1793.51
2020-09-11,1775.57
2020-09-14,1802.29
2020-09-15,1806.92
2020-09-16,1796.73
2020-09-17,1782.28
2020-09-18,1834.01
2020-09-21,1790.05
2020-09-22,1775.62
2020-09-23,1767.46
2020-09-24,1668.31
2020-09-25,1668.75
2020-09-28,1713.66
2020-09-29,1745.79
2020-10-05,1748.88
2020-10-06,1735.99
2020-10-07,1744.42
2020-10-08,1759.97
2020-10-12,1757.91
2020-10-13,1746.13
2020-10-14,1723.16
2020-10-15,1701.13
2020-10-16,1690.74
2020-10-19,1680.74
2020-10-20,1690.07
2020-10-21,1697.31
2020-10-22,1673.34
2020-10-23,1662.73
2020-10-26,1624.41
2020-10-27,1629.05
2020-10-28,1658.44
2020-10-29,1642.95
2020-10-30,1620.26
2020-11-02,1639.61
2020-11-03,1671.57
2020-11-04,1690.48
2020-11-05,1721.98
2020-11-06,1722.81
2020-11-09,1720.68
2020-11-10,1716.89
2020-11-11,1723.56
2020-11-12,1735.16
2020-11-13,1727.56
2020-11-16,1726.61
2020-11-17,1736.85
2020-11-18,1745.28
2020-11-19,1740.78
2020-11-20,1744.88
2020-11-23,1750.86
2020-11-24,1788.04
2020-11-25,1793.99
2020-11-26,1803.88
2020-11-27,1847.04
2020-11-30,1853.09
2020-12-01,1860.07
2020-12-02,1917.88
2020-12-03,1954.61
2020-12-04,1958.04
2020-12-07,1985.16
2020-12-08,1931.95
2020-12-09,2080.09
2020-12-10,2124.28
2020-12-11,2140.51
2020-12-14,2082.66
2020-12-15,2073.29
2020-12-16,2096.12
2020-12-17,2097.18
2020-12-18,2129.06
2020-12-21,2128.8
2020-12-22,2088.39
