날짜,지수
2020-04-20,3308.29
2020-04-21,3263.68
2020-04-22,3319.97
2020-04-23,3430.02
2020-04-24,3477.11
2020-04-27,3565.16
2020-04-28,3565.85
2020-04-29,3580.69
2020-05-04,3573.21
2020-05-06,3682.02
2020-05-07,3700.73
2020-05-08,3671.52
2020-05-11,3667.72
2020-05-12,3729.66
2020-05-13,3788.21
2020-05-14,3839.56
2020-05-15,3953.32
2020-05-18,3919.33
2020-05-19,3831.29
2020-05-20,3876.7
2020-05-21,3889.27
2020-05-22,3893.62
2020-05-25,3948.01
2020-05-26,3894.28
2020-05-27,3893.46
2020-05-28,3840.96
2020-05-29,3829.5
2020-06-01,3910.69
2020-06-02,3920.18
2020-06-03,3876.41
2020-06-04,3863.63
2020-06-05,3878.59
2020-06-08,3862.15
2020-06-09,3889.87
2020-06-10,4001.29
2020-06-11,3969.87
2020-06-12,4010.52
2020-06-15,3875.58
2020-06-16,4033.31
2020-06-17,4101.81
2020-06-18,4075.84
2020-06-19,4067.69
2020-06-22,4065.04
2020-06-23,4128.68
2020-06-24,4133.56
2020-06-25,4070.75
2020-06-26,4076.45
2020-06-29,4012.96
2020-06-30,3991.31
2020-07-01,4019.05
2020-07-02,4097.3
2020-07-03,4118.21
2020-07-06,4181.85
2020-07-07,4209.49
2020-07-08,4187.37
2020-07-09,4269.07
2020-07-10,4292.17
2020-07-13,4326.9
2020-07-14,4314.9
2020-07-15,4232.49
2020-07-16,4197.9
2020-07-17,4174.35
2020-07-20,4149.26
2020-07-21,4192.2
2020-07-22,4162.45
2020-07-23,4150.02
2020-07-24,4116.79
2020-07-27,4135.85
2020-07-28,4117.46
2020-07-29,4124.84
2020-07-30,4103.88
2020-07-31,4151.47
2020-08-03,4262.61
2020-08-04,4294.35
2020-08-05,4324.78
2020-08-06,4322.8
2020-08-07,4370.83
2020-08-10,4384.86
2020-08-11,4433.56
2020-08-12,4422.51
2020-08-13,4463.61
2020-08-14,4390.48
2020-08-18,4266.77
2020-08-19,4295.0
2020-08-20,4223.15
2020-08-21,4196.41
2020-08-24,4246.94
2020-08-25,4277.87
2020-08-26,4235.14
2020-08-27,4225.92
2020-08-28,4235.12
2020-08-31,4206.7
2020-09-01,4188.12
2020-09-02,4180.04
2020-09-03,4168.22
2020-09-04,4105.19
2020-09-07,4075.34
2020-09-08,4116.15
2020-09-09,4043.6
2020-09-10,4134.51
2020-09-11,4150.59
2020-09-14,4129.24
2020-09-15,4140.98
2020-09-16,4132.87
2020-09-17,4126.27
2020-09-18,4141.86
2020-09-21,4093.28
2020-09-22,3962.61
2020-09-23,3953.92
2020-09-24,3857.26
2020-09-25,3859.99
2020-09-28,3964.31
2020-09-29,3962.3
2020-10-05,4006.5
2020-10-06,4064.42
2020-10-07,4031.0
2020-10-08,4024.18
2020-10-12,4027.07
2020-10-13,3997.79
2020-10-14,3955.03
2020-10-15,3941.3
2020-10-16,3903.68
2020-10-19,3914.61
2020-10-20,3913.12
2020-10-21,3930.32
2020-10-22,3903.53
2020-10-23,3862.34
2020-10-26,3766.94
2020-10-27,3717.97
2020-10-28,3742.94
2020-10-29,3724.58
2020-10-30,3632.83
2020-11-02,3654.5
2020-11-03,3693.88
2020-11-04,3815.09
2020-11-05,3849.56
2020-11-06,3819.97
2020-11-09,3869.17
2020-11-10,3809.82
2020-11-11,3799.67
2020-11-12,3800.38
2020-11-13,3758.4
2020-11-16,3777.06
2020-11-17,3785.25
2020-11-18,3887.29
2020-11-19,3861.57
2020-11-20,3858.97
2020-11-23,3859.26
2020-11-24,3832.16
2020-11-25,3802.82
2020-11-26,3810.2
2020-11-27,3821.05
2020-11-30,3785.52
2020-12-01,3805.19
2020-12-02,3787.96
2020-12-03,3816.13
2020-12-04,3805.08
2020-12-07,3822.42
2020-12-08,3797.27
2020-12-09,3826.73
2020-12-10,3842.77
2020-12-11,3920.65
2020-12-14,3969.83
2020-12-15,3922.61
2020-12-16,3939.36
2020-12-17,3945.65
2020-12-18,3938.07
2020-12-21,3943.09
2020-12-22,3900.3
2020-12-23,3937.92
2020-12-24,3950.93
2020-12-28,3940.17
2020-12-29,3930.67
2020-12-30,3940.15
2021-01-04,3937.46
2021-01-05,4061.1
2021-01-06,4047.5
2021-01-07,4072.63
2021-01-08,4168.4
2021-01-11,4073.7
2021-01-12,4072.79
2021-01-13,4144.98
2021-01-14,4225.94
2021-01-15,4163.91
2021-01-18,4059.68
2021-01-19,4116.49
2021-01-20,4096.43
2021-01-21,4135.66
2021-01-22,4159.45
2021-01-25,4279.34
2021-01-26,4226.01
2021-01-27,4225.58
2021-01-28,4146.68
2021-01-29,4006.58
2021-02-01,4077.39
2021-02-02,4136.75
2021-02-03,4143.42
2021-02-04,4104.44
2021-02-05,4158.57
2021-02-08,4218.85
2021-02-09,4193.53
2021-02-10,4173.99
2021-02-15,4184.58
2021-02-16,4278.02
2021-02-17,4344.23
2021-02-18,4290.32
2021-02-19,4281.43
2021-02-22,4241.01
2021-02-23,4226.73
2021-02-24,4085.99
2021-02-25,4157.32
2021-02-26,4065.58
2021-03-02,4074.47
2021-03-03,4133.18
2021-03-04,4168.82
2021-03-05,4132.5
2021-03-08,4117.71
2021-03-09,4095.58
2021-03-10,4101.05
2021-03-11,4120.84
2021-03-12,4182.19
2021-03-15,4218.96
2021-03-16,4252.24
2021-03-17,4241.43
2021-03-18,4220.07
2021-03-19,4221.52
2021-03-22,4201.52
2021-03-23,4220.98
2021-03-24,4217.85
2021-03-25,4208.09
2021-03-26,4195.67
2021-03-29,4220.48
2021-03-30,4221.4
2021-03-31,4209.34
2021-04-01,4211.77
2021-04-02,4202.99
2021-04-05,4209.26
2021-04-06,4223.36
2021-04-07,4237.15
2021-04-08,4204.78
2021-04-09,4275.0
2021-04-12,4287.27
2021-04-13,4284.35
2021-04-14,4278.13
2021-04-15,4239.37
2021-04-16,4244.41
2021-04-19,4254.31
2021-04-20,4272.02
2021-04-21,4245.28
2021-04-22,4225.66
2021-04-23,4205.3
2021-04-26,4218.87
2021-04-27,4230.19
2021-04-28,4171.4
2021-04-29,4165.4
2021-04-30,4140.29
2021-05-03,4168.95
2021-05-04,4166.84
2021-05-06,4231.64
2021-05-07,4321.18
2021-05-10,4399.78
2021-05-11,4499.65
2021-05-12,4493.63
2021-05-13,4568.89
2021-05-14,4499.67
2021-05-17,4462.18
2021-05-18,4464.31
2021-05-20,4387.25
2021-05-21,4340.2
2021-05-24,4374.71
2021-05-25,4492.29
2021-05-26,4553.12
2021-05-27,4576.76
2021-05-28,4547.85
2021-05-31,4643.08
2021-06-01,4652.42
2021-06-02,4615.06
2021-06-03,4583.99
2021-06-04,4582.02
2021-06-07,4573.41
2021-06-08,4565.81
2021-06-09,4531.64
2021-06-10,4539.08
2021-06-11,4511.63
2021-06-14,4547.32
2021-06-15,4518.16
2021-06-16,4533.91
2021-06-17,4520.89
2021-06-18,4513.4
2021-06-21,4466.17
2021-06-22,4508.9
2021-06-23,4458.17
2021-06-24,4459.21
2021-06-25,4473.71
2021-06-28,4498.67
2021-06-29,4494.85
2021-06-30,4505.55
2021-07-01,4474.97
2021-07-02,4460.47
2021-07-05,4459.15
2021-07-06,4472.86
2021-07-07,4441.29
2021-07-08,4385.25
2021-07-09,4321.05
2021-07-12,4352.34
2021-07-13,4373.37
2021-07-14,4390.27
2021-07-15,4499.05
2021-07-16,4509.78
2021-07-19,4498.35
2021-07-20,4457.53
2021-07-21,4424.05
2021-07-22,4435.53
2021-07-23,4443.57
2021-07-26,4410.67
2021-07-27,4413.09
2021-07-28,4385.95
2021-07-29,4472.44
2021-07-30,4429.2
2021-08-02,4446.29
2021-08-03,4429.09
2021-08-04,4479.37
2021-08-05,4477.45
2021-08-06,4474.7
2021-08-09,4444.58
2021-08-10,4359.76
2021-08-11,4312.9
2021-08-12,4296.89
2021-08-13,4243.38
2021-08-17,4185.34
2021-08-18,4219.74
2021-08-19,4094.82
2021-08-20,4056.67
2021-08-23,4104.34
2021-08-24,4250.79
2021-08-25,4245.74
2021-08-26,4217.72
2021-08-27,4230.4
2021-08-30,4298.98
2021-08-31,4298.1
2021-09-01,4314.25
2021-09-02,4295.01
2021-09-03,4299.3
2021-09-06,4300.39
2021-09-07,4303.37
2021-09-08,4277.22
2021-09-09,4245.75
2021-09-10,4258.86
2021-09-13,4250.32
2021-09-14,4292.66
2021-09-15,4318.7
2021-09-16,4276.04
2021-09-17,4268.23
2021-09-23,4233.41
2021-09-24,4204.19
2021-09-27,4198.29
2021-09-28,4136.14
2021-09-29,4079.47
2021-09-30,4093.83
2021-10-01,4029.14
2021-10-05,4038.51
2021-10-06,3986.79
2021-10-07,4064.66
2021-10-08,4060.14
2021-10-12,4012.37
2021-10-13,4058.05
2021-10-14,4109.67
2021-10-15,4129.23
2021-10-18,4146.17
2021-10-19,4153.96
2021-10-20,4167.55
2021-10-21,4152.67
2021-10-22,4149.86
2021-10-25,4166.97
2021-10-26,4165.02
2021-10-27,4121.14
2021-10-28,4072.06
2021-10-29,4013.68
2021-11-01,4043.45
2021-11-02,4059.27
2021-11-03,4008.68
2021-11-04,3987.27
2021-11-05,3948.56
2021-11-08,3947.8
2021-11-09,3928.76
2021-11-10,3858.21
2021-11-11,3839.2
2021-11-12,3867.49
2021-11-15,3907.1
2021-11-16,3888.85
2021-11-17,3840.73
2021-11-18,3797.14
2021-11-19,3811.7
2021-11-22,3812.37
2021-11-23,3833.36
2021-11-24,3850.06
2021-11-25,3819.21
2021-11-26,3759.12
2021-11-29,3707.44
2021-11-30,3551.91
2021-12-01,3596.23
2021-12-02,3675.74
2021-12-03,3713.78
2021-12-06,3717.59
2021-12-07,3780.37
2021-12-08,3741.42
2021-12-09,3771.11
2021-12-10,3767.91
2021-12-13,3801.04
2021-12-14,3868.55
2021-12-15,3865.5
2021-12-16,3857.85
2021-12-17,3901.57
2021-12-20,3872.54
2021-12-21,3875.14
2021-12-22,3842.48
2021-12-23,3845.79
2021-12-24,3847.13
2021-12-27,3858.63
2021-12-28,3875.32
2021-12-29,3854.12
2021-12-30,3826.86
2022-01-03,3808.89
2022-01-04,3804.33
2022-01-05,3786.97
2022-01-06,3771.93
2022-01-07,3843.69
2022-01-10,3863.07
2022-01-11,3824.62
2022-01-12,3857.39
2022-01-13,3852.57
2022-01-14,3822.28
2022-01-17,3785.9
2022-01-18,3741.72
2022-01-19,3717.31
2022-01-20,3736.2
2022-01-21,3708.51
2022-01-24,3751.18
2022-01-25,3663.01
2022-01-26,3649.54
2022-01-27,3498.56
2022-01-28,3630.62
2022-02-03,3706.36
2022-02-04,3845.4
2022-02-07,3908.38
2022-02-08,3914.59
2022-02-09,3939.04
2022-02-10,3953.48
2022-02-11,3904.37
2022-02-14,3862.15
2022-02-15,3812.52
2022-02-16,3864.23
2022-02-17,3850.83
2022-02-18,3885.98
2022-02-21,3912.89
2022-02-22,3877.22
2022-02-23,3867.29
2022-02-24,3806.13
2022-02-25,3776.37
2022-02-28,3781.33
2022-03-02,3792.64
2022-03-03,3796.2
2022-03-04,3794.09
2022-03-07,3676.38
2022-03-08,3601.37
2022-03-10,3674.2
2022-03-11,3668.87
2022-03-14,3627.06
2022-03-15,3616.38
2022-03-16,3647.79
2022-03-17,3699.08
2022-03-18,3710.01
2022-03-21,3726.76
2022-03-22,3735.76
2022-03-23,3754.45
2022-03-24,3831.97
2022-03-25,3802.67
2022-03-28,3819.52
2022-03-29,3816.87
2022-03-30,3833.97
2022-03-31,3848.52
2022-04-01,3880.32
2022-04-04,3930.72
2022-04-05,3943.71
2022-04-06,3942.01
2022-04-07,3933.53
2022-04-08,3921.17
2022-04-11,3955.99
2022-04-12,3919.52
2022-04-13,3930.64
2022-04-14,3955.93
2022-04-15,3936.68
2022-04-18,4004.54
2022-04-19,4050.48
2022-04-20,4160.14
2022-04-21,4123.95
2022-04-22,4169.02
2022-04-25,4190.18
2022-04-26,4212.58
2022-04-27,4133.2
2022-04-28,4119.24
2022-04-29,4074.08
2022-05-02,4144.57
2022-05-03,4062.8
2022-05-04,4014.48
2022-05-06,3972.51
2022-05-09,3907.51
2022-05-10,3936.03
2022-05-11,3939.14
2022-05-12,3896.42
2022-05-13,3945.06
2022-05-16,3999.49
2022-05-17,3936.83
2022-05-18,3956.09
2022-05-19,3892.02
2022-05-20,3936.32
2022-05-23,3932.9
2022-05-24,3868.59
2022-05-25,3896.65
2022-05-26,3876.09
2022-05-27,3926.07
2022-05-30,3949.62
2022-05-31,3943.06
2022-06-02,3944.28
2022-06-03,3924.54
2022-06-07,3887.31
2022-06-08,3869.22
2022-06-09,3820.97
2022-06-10,3799.96
2022-06-13,3715.92
2022-06-14,3686.37
2022-06-15,3715.56
2022-06-16,3720.43
2022-06-17,3725.78
2022-06-20,3704.44
2022-06-21,3717.54
2022-06-22,3660.68
2022-06-23,3624.69
2022-06-24,3684.34
2022-06-27,3749.52
2022-06-28,3776.32
2022-06-29,3725.43
2022-06-30,3684.11
2022-07-01,3736.0
2022-07-04,3767.58
2022-07-05,3760.79
2022-07-06,3745.17
2022-07-07,3763.92
2022-07-08,3752.24
2022-07-11,3728.35
2022-07-12,3738.49
2022-07-13,3791.61
2022-07-14,3767.17
2022-07-15,3733.89
2022-07-18,3710.54
2022-07-19,3778.66
2022-07-20,3733.04
2022-07-21,3736.48
2022-07-22,3713.74
2022-07-25,3728.94
2022-07-26,3756.28
2022-07-27,3742.26
2022-07-28,3727.51
2022-07-29,3736.33
2022-08-01,3691.87
2022-08-02,3713.82
2022-08-03,3760.05
2022-08-04,3718.46
2022-08-05,3748.38
2022-08-08,3809.02
2022-08-09,3933.52
2022-08-10,3918.82
2022-08-11,3919.95
2022-08-12,3899.17
2022-08-16,3903.73
2022-08-17,3897.67
2022-08-18,3934.76
2022-08-19,3933.79
2022-08-22,3893.97
2022-08-23,3799.71
2022-08-24,3853.01
2022-08-25,3854.72
2022-08-26,3846.63
2022-08-29,3785.6
2022-08-30,3792.14
2022-08-31,3794.48
2022-09-01,3741.25
2022-09-02,3741.72
2022-09-05,3710.65
2022-09-06,3720.23
2022-09-07,3660.73
2022-09-08,3679.62
2022-09-13,3735.91
2022-09-14,3699.99
2022-09-15,3686.04
2022-09-16,3700.88
2022-09-19,3689.57
2022-09-20,3777.02
2022-09-21,3785.81
2022-09-22,3849.85
2022-09-23,3794.28
2022-09-26,3699.05
2022-09-27,3804.89
2022-09-28,3731.87
2022-09-29,3723.3
2022-09-30,3688.26
2022-10-04,3671.31
2022-10-05,3647.62
2022-10-06,3648.33
2022-10-07,3641.69
2022-10-11,3565.71
2022-10-12,3528.88
2022-10-13,3449.97
2022-10-14,3532.76
2022-10-17,3541.75
2022-10-18,3568.5
2022-10-19,3540.04
2022-10-20,3525.73
2022-10-21,3501.59
2022-10-24,3511.61
2022-10-25,3534.46
2022-10-26,3558.52
2022-10-27,3577.18
2022-10-28,3576.01
2022-10-31,3590.81
2022-11-01,3602.72
2022-11-02,3636.11
2022-11-03,3614.1
2022-11-04,3652.42
2022-11-07,3613.35
2022-11-08,3615.58
2022-11-09,3616.65
2022-11-10,3670.29
2022-11-11,3662.02
2022-11-14,3690.21
2022-11-15,3643.11
2022-11-16,3670.86
2022-11-17,3675.13
2022-11-18,3661.5
2022-11-21,3677.36
2022-11-22,3648.31
2022-11-23,3670.34
2022-11-24,3686.27
2022-11-25,3696.0
2022-11-28,3662.81
2022-11-29,3699.7
2022-11-30,3735.22
2022-12-01,3735.88
2022-12-02,3694.03
2022-12-05,3696.2
2022-12-06,3669.89
2022-12-07,3682.2
2022-12-08,3669.98
2022-12-09,3739.12
2022-12-12,3733.21
2022-12-13,3727.65
2022-12-14,3755.06
2022-12-15,3762.54
2022-12-16,3745.75
2022-12-19,3737.84
2022-12-20,3761.27
2022-12-21,3910.03
2022-12-22,3914.92
2022-12-23,3896.31
2022-12-26,3889.81
2022-12-27,3915.03
2022-12-28,3899.2
2022-12-29,3847.06
2023-01-02,3769.56
2023-01-03,3714.52
2023-01-04,3619.75
2023-01-05,3617.24
2023-01-06,3615.51
2023-01-09,3689.64
2023-01-10,3674.21
2023-01-11,3659.33
2023-01-12,3672.59
2023-01-13,3676.32
2023-01-16,3709.57
2023-01-17,3671.95
2023-01-18,3684.03
2023-01-19,3713.57
2023-01-20,3704.96
2023-01-25,3713.38
2023-01-26,3712.89
2023-01-27,3749.85
2023-01-30,3717.32
2023-01-31,3749.78
2023-02-01,3733.85
2023-02-02,3695.97
2023-02-03,3740.58
2023-02-06,3745.43
2023-02-07,3729.84
2023-02-08,3749.84
2023-02-09,3736.4
2023-02-10,3770.29
2023-02-13,3784.06
2023-02-14,3777.18
2023-02-15,3734.06
2023-02-16,3736.23
2023-02-17,3718.18
2023-02-20,3722.7
2023-02-21,3729.57
2023-02-22,3682.24
2023-02-23,3753.07
2023-02-24,3737.3
2023-02-27,3705.49
2023-02-28,3677.03
2023-03-02,3675.54
2023-03-03,3676.25
2023-03-06,3662.13
2023-03-07,3680.08
2023-03-08,3668.96
2023-03-09,3655.74
2023-03-10,3609.28
2023-03-13,3595.01
2023-03-14,3528.2
2023-03-15,3589.26
2023-03-16,3569.14
2023-03-17,3601.89
2023-03-20,3588.32
2023-03-21,3611.02
2023-03-22,3594.75
2023-03-23,3573.58
2023-03-24,3580.7
2023-03-27,3587.07
2023-03-28,3635.22
2023-03-29,3660.6
2023-03-30,3650.11
2023-03-31,3703.65
2023-04-03,3705.02
2023-04-04,3731.5
2023-04-05,3706.15
2023-04-06,3699.48
2023-04-07,3673.61
2023-04-10,3632.14
2023-04-11,3653.64
2023-04-12,3653.33
2023-04-13,3680.73
2023-04-14,3680.03
2023-04-17,3674.51
2023-04-18,3695.92
2023-04-19,3747.71
2023-04-20,3766.81
2023-04-21,3741.07
2023-04-24,3714.33
2023-04-25,3687.73
2023-04-26,3741.98
2023-04-27,3723.76
2023-04-28,3728.94
2023-05-02,3748.27
2023-05-03,3767.06
2023-05-04,3742.81
2023-05-08,3839.59
2023-05-09,3819.02
2023-05-10,3813.46
2023-05-11,3779.87
2023-05-12,3740.03
2023-05-15,3746.17
2023-05-16,3796.26
2023-05-17,3737.83
2023-05-18,3717.48
2023-05-19,3694.4
2023-05-22,3721.94
2023-05-23,3724.29
2023-05-24,3786.72
2023-05-25,3761.57
2023-05-26,3718.85
2023-05-30,3687.46
2023-05-31,3678.93
2023-06-01,3675.7
2023-06-02,3700.33
2023-06-05,3733.13
2023-06-07,3751.34
2023-06-08,3743.27
2023-06-09,3729.66
2023-06-12,3710.91
2023-06-13,3698.23
2023-06-14,3692.76
2023-06-15,3690.16
2023-06-16,3714.77
2023-06-19,3610.61
2023-06-20,3581.93
2023-06-21,3560.08
2023-06-22,3552.99
2023-06-23,3478.0
2023-06-26,3507.64
2023-06-27,3494.16
2023-06-28,3452.78
2023-06-29,3370.48
2023-06-30,3395.55
2023-07-03,3462.76
2023-07-04,3428.54
2023-07-05,3407.35
2023-07-06,3369.3
2023-07-07,3363.73
2023-07-10,3350.02
2023-07-11,3377.41
2023-07-12,3383.07
2023-07-13,3403.7
2023-07-14,3422.76
2023-07-17,3380.93
2023-07-18,3371.7
2023-07-19,3350.26
2023-07-20,3340.32
2023-07-21,3368.63
2023-07-24,3305.0
2023-07-25,3259.71
2023-07-26,3173.75
2023-07-27,3287.71
2023-07-28,3255.13
2023-07-31,3288.02
2023-08-01,3361.42
2023-08-02,3348.77
2023-08-03,3367.69
2023-08-04,3390.76
2023-08-07,3447.51
2023-08-08,3440.16
2023-08-09,3415.63
2023-08-10,3471.29
2023-08-11,3532.1
2023-08-14,3659.17
2023-08-16,3593.22
2023-08-17,3576.75
2023-08-18,3582.53
2023-08-21,3608.25
2023-08-22,3606.89
2023-08-23,3647.23
2023-08-24,3616.06
2023-08-25,3661.42
2023-08-28,3666.18
2023-08-29,3624.39
2023-08-30,3611.33
2023-08-31,3608.24
2023-09-01,3581.41
2023-09-04,3592.69
2023-09-05,3598.8
2023-09-06,3560.18
2023-09-07,3551.2
2023-09-08,3579.56
2023-09-11,3561.35
2023-09-12,3570.36
2023-09-13,3568.75
2023-09-14,3587.5
2023-09-15,3611.53
2023-09-18,3618.03
2023-09-19,3640.52
2023-09-20,3619.62
2023-09-21,3576.5
2023-09-22,3565.29
2023-09-25,3579.35
2023-09-26,3609.35
2023-09-27,3643.34
2023-10-04,3575.21
2023-10-05,3571.4
2023-10-06,3603.8
2023-10-10,3576.38
2023-10-11,3598.04
2023-10-12,3567.28
2023-10-13,3579.41
2023-10-16,3600.55
2023-10-17,3582.34
2023-10-18,3544.23
2023-10-19,3504.85
2023-10-20,3435.33
2023-10-23,3455.29
2023-10-24,3471.35
2023-10-25,3536.44
2023-10-26,3496.65
2023-10-27,3501.26
2023-10-30,3518.93
2023-10-31,3528.17
2023-11-01,3640.22
2023-11-02,3618.53
2023-11-03,3621.08
2023-11-06,3708.48
2023-11-07,3663.84
2023-11-08,3681.64
2023-11-09,3728.28
2023-11-10,3724.87
2023-11-13,3722.28
2023-11-14,3780.81
2023-11-15,3751.72
2023-11-16,3710.0
2023-11-17,3704.33
2023-11-20,3699.02
2023-11-21,3711.84
2023-11-22,3712.37
2023-11-23,3732.18
2023-11-24,3730.94
2023-11-27,3723.67
2023-11-28,3701.41
2023-11-29,3651.63
2023-11-30,3623.83
2023-12-01,3629.96
2023-12-04,3644.13
2023-12-05,3673.95
2023-12-06,3694.38
2023-12-07,3632.56
2023-12-08,3623.6
2023-12-11,3648.26
2023-12-12,3658.3
2023-12-13,3663.02
2023-12-14,3656.46
2023-12-15,3632.11
2023-12-18,3632.89
2023-12-19,3673.17
2023-12-20,3700.98
2023-12-21,3695.04
2023-12-22,3682.69
2023-12-26,3713.4
2023-12-27,3670.43
2023-12-28,3695.74
2024-01-02,3724.88
2024-01-03,3681.97
2024-01-04,3691.32
2024-01-05,3662.5
2024-01-08,3641.07
2024-01-09,3637.13
2024-01-10,3640.42
2024-01-11,3584.99
2024-01-12,3593.96
2024-01-15,3605.85
2024-01-16,3450.0
2024-01-17,3372.74
2024-01-18,3368.49
2024-01-19,3362.49
2024-01-22,3354.81
2024-01-23,3372.97
2024-01-24,3345.95
2024-01-25,3363.3
2024-01-26,3373.93
2024-01-29,3367.95
2024-01-30,3386.99
2024-01-31,3387.05
2024-02-01,3412.78
2024-02-02,3480.11
2024-02-05,3469.06
2024-02-06,3414.58
2024-02-07,3435.96
