날짜,지수
2020-04-20,1233.91
2020-04-21,1222.54
2020-04-22,1236.09
2020-04-23,1259.31
2020-04-24,1272.2
2020-04-27,1273.6
2020-04-28,1258.56
2020-04-29,1263.23
2020-05-04,1218.69
2020-05-06,1228.23
2020-05-07,1242.3
2020-05-08,1250.64
2020-05-11,1263.09
2020-05-12,1240.62
2020-05-13,1208.33
2020-05-14,1207.56
2020-05-15,1198.69
2020-05-18,1197.38
2020-05-19,1255.33
2020-05-20,1261.8
2020-05-21,1264.94
2020-05-22,1269.4
2020-05-25,1273.81
2020-05-26,1330.05
2020-05-27,1338.89
2020-05-28,1343.44
2020-05-29,1335.23
2020-06-01,1360.15
2020-06-02,1363.35
2020-06-03,1396.72
2020-06-04,1406.24
2020-06-05,1444.41
2020-06-08,1445.86
2020-06-09,1435.73
2020-06-10,1427.02
2020-06-11,1439.65
2020-06-12,1374.67
2020-06-15,1295.78
2020-06-16,1358.69
2020-06-17,1329.03
2020-06-18,1338.79
2020-06-19,1341.85
2020-06-22,1320.71
2020-06-23,1312.4
2020-06-24,1320.28
2020-06-25,1284.71
2020-06-26,1312.54
2020-06-29,1274.88
2020-06-30,1275.22
2020-07-01,1299.25
2020-07-02,1313.46
2020-07-03,1318.76
2020-07-06,1337.41
2020-07-07,1330.14
2020-07-08,1335.03
2020-07-09,1338.32
2020-07-10,1315.98
2020-07-13,1343.16
2020-07-14,1350.24
2020-07-15,1371.41
2020-07-16,1375.22
2020-07-17,1377.11
2020-07-20,1388.89
2020-07-21,1419.15
2020-07-22,1378.46
2020-07-23,1350.11
2020-07-24,1339.35
2020-07-27,1319.81
2020-07-28,1333.83
2020-07-29,1333.38
2020-07-30,1331.58
2020-07-31,1322.88
2020-08-03,1306.28
2020-08-04,1321.92
2020-08-05,1317.01
2020-08-06,1351.04
2020-08-07,1373.52
2020-08-10,1381.08
2020-08-11,1398.14
2020-08-12,1395.25
2020-08-13,1397.14
2020-08-14,1403.73
2020-08-18,1326.12
2020-08-19,1346.52
2020-08-20,1282.48
2020-08-21,1292.47
2020-08-24,1290.05
2020-08-25,1320.99
2020-08-26,1320.66
2020-08-27,1299.2
2020-08-28,1340.38
2020-08-31,1355.57
2020-09-01,1366.41
2020-09-02,1381.83
2020-09-03,1380.52
2020-09-04,1358.47
2020-09-07,1354.81
2020-09-08,1346.91
2020-09-09,1351.61
2020-09-10,1368.49
2020-09-11,1375.89
2020-09-14,1406.43
2020-09-15,1424.78
2020-09-16,1452.94
2020-09-17,1445.6
2020-09-18,1457.83
2020-09-21,1431.99
2020-09-22,1378.7
2020-09-23,1374.94
2020-09-24,1349.84
2020-09-25,1353.56
2020-09-28,1378.99
2020-09-29,1398.33
2020-10-05,1432.71
2020-10-06,1432.22
2020-10-07,1447.33
2020-10-08,1471.39
2020-10-12,1492.88
2020-10-13,1518.13
2020-10-14,1506.84
2020-10-15,1534.18
2020-10-16,1536.69
2020-10-19,1525.83
2020-10-20,1576.51
2020-10-21,1595.83
2020-10-22,1564.6
2020-10-23,1569.48
2020-10-26,1555.86
2020-10-27,1536.18
2020-10-28,1547.79
2020-10-29,1530.29
2020-10-30,1482.71
2020-11-02,1521.83
2020-11-03,1533.76
2020-11-04,1523.26
2020-11-05,1577.58
2020-11-06,1563.9
2020-11-09,1671.45
2020-11-10,1731.35
2020-11-11,1770.23
2020-11-12,1797.37
2020-11-13,1763.41
2020-11-16,1818.71
2020-11-17,1746.95
2020-11-18,1738.47
2020-11-19,1707.46
2020-11-20,1719.66
2020-11-23,1763.69
2020-11-24,1755.79
2020-11-25,1734.03
2020-11-26,1732.13
2020-11-27,1731.26
2020-11-30,1738.56
2020-12-01,1761.46
2020-12-02,1726.78
2020-12-03,1740.27
2020-12-04,1730.76
2020-12-07,1715.1
2020-12-08,1720.74
2020-12-09,1741.82
2020-12-10,1763.88
2020-12-11,1770.6
2020-12-14,1730.23
2020-12-15,1722.38
2020-12-16,1723.33
2020-12-17,1726.72
2020-12-18,1725.76
2020-12-21,1718.63
2020-12-22,1682.43
