날짜,지수
2020-04-20,1120.21
2020-04-21,1094.07
2020-04-22,1085.74
2020-04-23,1092.21
2020-04-24,1064.21
2020-04-27,1076.63
2020-04-28,1085.48
2020-04-29,1106.15
2020-05-04,1076.75
2020-05-06,1098.2
2020-05-07,1090.86
2020-05-08,1118.74
2020-05-11,1106.36
2020-05-12,1083.47
2020-05-13,1090.54
2020-05-14,1073.52
2020-05-15,1081.57
2020-05-18,1082.58
2020-05-19,1155.84
2020-05-20,1142.04
2020-05-21,1146.99
2020-05-22,1121.26
2020-05-25,1141.82
2020-05-26,1174.86
2020-05-27,1197.17
2020-05-28,1181.63
2020-05-29,1214.04
2020-06-01,1243.36
2020-06-02,1297.94
2020-06-03,1358.84
2020-06-04,1338.39
2020-06-05,1353.15
2020-06-08,1369.19
2020-06-09,1352.58
2020-06-10,1340.04
2020-06-11,1315.13
2020-06-12,1278.36
2020-06-15,1181.2
2020-06-16,1243.4
2020-06-17,1229.02
2020-06-18,1229.21
2020-06-19,1222.19
2020-06-22,1205.7
2020-06-23,1214.85
2020-06-24,1257.85
2020-06-25,1211.11
2020-06-26,1226.87
2020-06-29,1201.47
2020-06-30,1201.3
2020-07-01,1201.82
2020-07-02,1208.46
2020-07-03,1212.68
2020-07-06,1241.62
2020-07-07,1219.69
2020-07-08,1219.66
2020-07-09,1216.05
2020-07-10,1190.67
2020-07-13,1245.89
2020-07-14,1252.61
2020-07-15,1301.97
2020-07-16,1302.49
2020-07-17,1345.12
2020-07-20,1370.43
2020-07-21,1361.48
2020-07-22,1330.85
2020-07-23,1353.74
2020-07-24,1331.12
2020-07-27,1341.44
2020-07-28,1347.66
2020-07-29,1377.58
2020-07-30,1396.31
2020-07-31,1377.02
2020-08-03,1364.94
2020-08-04,1401.27
2020-08-05,1413.11
2020-08-06,1472.44
2020-08-07,1481.31
2020-08-10,1613.15
2020-08-11,1664.07
2020-08-12,1612.33
2020-08-13,1598.31
2020-08-14,1588.25
2020-08-18,1508.61
2020-08-19,1533.3
2020-08-20,1454.57
2020-08-21,1473.72
2020-08-24,1506.9
2020-08-25,1546.11
2020-08-26,1556.15
2020-08-27,1518.58
2020-08-28,1565.95
2020-08-31,1576.16
2020-09-01,1622.83
2020-09-02,1600.59
2020-09-03,1603.51
2020-09-04,1577.87
2020-09-07,1573.7
2020-09-08,1566.92
2020-09-09,1556.21
2020-09-10,1570.45
2020-09-11,1583.26
2020-09-14,1645.49
2020-09-15,1643.59
2020-09-16,1680.47
2020-09-17,1691.59
2020-09-18,1674.74
2020-09-21,1689.74
2020-09-22,1631.23
2020-09-23,1619.89
2020-09-24,1558.43
2020-09-25,1554.31
2020-09-28,1593.88
2020-09-29,1629.98
2020-10-05,1699.09
2020-10-06,1679.25
2020-10-07,1685.21
2020-10-08,1670.96
2020-10-12,1660.12
2020-10-13,1671.8
2020-10-14,1648.0
2020-10-15,1640.74
2020-10-16,1606.02
2020-10-19,1581.1
2020-10-20,1601.96
2020-10-21,1579.24
2020-10-22,1567.01
2020-10-23,1592.09
2020-10-26,1629.2
2020-10-27,1660.54
2020-10-28,1685.76
2020-10-29,1642.71
2020-10-30,1584.19
2020-11-02,1617.47
2020-11-03,1618.37
2020-11-04,1629.7
2020-11-05,1661.28
2020-11-06,1633.96
2020-11-09,1669.7
2020-11-10,1708.02
2020-11-11,1745.66
2020-11-12,1740.22
2020-11-13,1753.69
2020-11-16,1786.91
2020-11-17,1786.03
2020-11-18,1774.14
2020-11-19,1766.53
2020-11-20,1756.1
2020-11-23,1803.28
2020-11-24,1811.07
2020-11-25,1811.44
2020-11-26,1803.35
2020-11-27,1812.79
2020-11-30,1799.29
2020-12-01,1824.55
2020-12-02,1825.63
2020-12-03,1904.97
2020-12-04,1913.34
2020-12-07,1888.2
2020-12-08,1851.9
2020-12-09,1872.52
2020-12-10,1877.5
2020-12-11,1886.35
2020-12-14,1898.12
2020-12-15,1890.64
2020-12-16,1897.75
2020-12-17,1894.1
2020-12-18,1895.79
2020-12-21,1892.5
2020-12-22,1855.07
2020-12-23,1877.32
2020-12-24,1884.6
2020-12-28,1896.5
2020-12-29,1900.81
2020-12-30,1924.37
2021-01-04,2056.61
2021-01-05,2090.88
2021-01-06,2046.38
2021-01-07,2097.05
2021-01-08,2358.9
2021-01-11,2415.38
2021-01-12,2365.26
2021-01-13,2384.58
2021-01-14,2349.8
2021-01-15,2278.46
2021-01-18,2284.23
2021-01-19,2469.89
2021-01-20,2485.71
2021-01-21,2580.08
2021-01-22,2506.68
2021-01-25,2558.37
2021-01-26,2485.47
2021-01-27,2439.92
2021-01-28,2388.99
2021-01-29,2281.59
2021-02-01,2408.42
2021-02-02,2410.98
2021-02-03,2510.94
2021-02-04,2545.73
2021-02-05,2561.01
2021-02-08,2359.81
2021-02-09,2365.19
2021-02-10,2420.27
2021-02-15,2437.38
2021-02-16,2430.15
2021-02-17,2379.87
2021-02-18,2329.09
2021-02-19,2360.85
2021-02-22,2343.09
2021-02-23,2357.05
2021-02-24,2255.69
2021-02-25,2323.41
2021-02-26,2282.3
2021-03-02,2304.68
2021-03-03,2323.45
2021-03-04,2285.91
2021-03-05,2285.34
2021-03-08,2275.57
2021-03-09,2280.77
2021-03-10,2234.8
2021-03-11,2265.17
2021-03-12,2310.55
2021-03-15,2334.82
2021-03-16,2342.69
2021-03-17,2312.4
2021-03-18,2347.68
2021-03-19,2334.12
2021-03-22,2310.12
2021-03-23,2266.72
2021-03-24,2237.09
2021-03-25,2224.62
2021-03-26,2238.41
2021-03-29,2247.73
2021-03-30,2302.62
2021-03-31,2282.76
2021-04-01,2281.0
2021-04-02,2374.11
2021-04-05,2374.09
2021-04-06,2339.8
2021-04-07,2343.11
2021-04-08,2388.95
2021-04-09,2340.68
2021-04-12,2332.56
2021-04-13,2355.95
2021-04-14,2379.69
2021-04-15,2364.18
2021-04-16,2376.89
2021-04-19,2365.68
2021-04-20,2365.64
2021-04-21,2320.54
2021-04-22,2328.81
2021-04-23,2283.82
2021-04-26,2308.2
2021-04-27,2287.61
2021-04-28,2284.45
2021-04-29,2254.49
2021-04-30,2231.26
2021-05-03,2274.71
2021-05-04,2292.86
2021-05-06,2288.58
2021-05-07,2304.14
2021-05-10,2359.4
2021-05-11,2331.63
2021-05-12,2335.54
2021-05-13,2320.46
2021-05-14,2323.54
2021-05-17,2317.8
2021-05-18,2353.39
2021-05-20,2294.52
2021-05-21,2317.33
2021-05-24,2318.59
2021-05-25,2317.43
2021-05-26,2296.34
2021-05-27,2265.75
2021-05-28,2350.42
2021-05-31,2372.84
2021-06-01,2403.15
2021-06-02,2409.0
2021-06-03,2408.04
2021-06-04,2456.41
2021-06-07,2466.88
2021-06-08,2485.2
2021-06-09,2461.15
2021-06-10,2434.01
2021-06-11,2450.54
2021-06-14,2438.81
2021-06-15,2432.83
2021-06-16,2449.2
2021-06-17,2420.15
2021-06-18,2426.44
2021-06-21,2407.77
2021-06-22,2469.19
2021-06-23,2464.49
2021-06-24,2466.55
2021-06-25,2476.28
2021-06-28,2460.33
2021-06-29,2455.06
2021-06-30,2457.15
2021-07-01,2458.53
2021-07-02,2450.17
2021-07-05,2431.7
2021-07-06,2431.13
2021-07-07,2403.22
2021-07-08,2366.12
2021-07-09,2336.17
2021-07-12,2373.19
2021-07-13,2383.37
2021-07-14,2373.95
2021-07-15,2394.43
2021-07-16,2377.56
2021-07-19,2343.02
2021-07-20,2344.84
2021-07-21,2360.18
2021-07-22,2372.63
2021-07-23,2353.74
2021-07-26,2330.22
2021-07-27,2337.15
2021-07-28,2330.55
2021-07-29,2342.31
2021-07-30,2293.48
2021-08-02,2314.14
2021-08-03,2335.61
2021-08-04,2361.13
2021-08-05,2338.78
2021-08-06,2337.45
2021-08-09,2322.2
2021-08-10,2294.72
2021-08-11,2275.32
2021-08-12,2297.19
2021-08-13,2273.11
2021-08-17,2218.36
2021-08-18,2223.02
2021-08-19,2139.73
2021-08-20,2094.52
2021-08-23,2137.66
2021-08-24,2186.16
2021-08-25,2191.5
2021-08-26,2200.22
2021-08-27,2206.74
2021-08-30,2226.64
2021-08-31,2261.81
2021-09-01,2267.06
2021-09-02,2239.89
2021-09-03,2264.97
2021-09-06,2271.42
2021-09-07,2265.76
2021-09-08,2266.02
2021-09-09,2227.35
2021-09-10,2196.49
2021-09-13,2189.49
2021-09-14,2226.53
2021-09-15,2223.17
2021-09-16,2225.15
2021-09-17,2201.7
2021-09-23,2171.53
2021-09-24,2153.62
2021-09-27,2137.05
2021-09-28,2109.44
2021-09-29,2122.16
2021-09-30,2130.26
2021-10-01,2070.16
2021-10-05,2052.11
2021-10-06,2014.19
2021-10-07,2101.45
2021-10-08,2132.16
2021-10-12,2124.04
2021-10-13,2182.4
2021-10-14,2180.39
2021-10-15,2180.81
2021-10-18,2181.12
2021-10-19,2186.48
2021-10-20,2170.38
2021-10-21,2164.12
2021-10-22,2152.17
2021-10-25,2194.72
2021-10-26,2214.02
2021-10-27,2221.21
2021-10-28,2201.42
2021-10-29,2180.6
2021-11-01,2176.05
2021-11-02,2191.63
2021-11-03,2168.94
2021-11-04,2186.84
2021-11-05,2194.79
2021-11-08,2198.39
2021-11-09,2173.49
2021-11-10,2135.81
2021-11-11,2107.27
2021-11-12,2149.68
2021-11-15,2165.23
2021-11-16,2129.21
2021-11-17,2117.72
2021-11-18,2090.71
2021-11-19,2116.31
2021-11-22,2173.56
2021-11-23,2145.78
2021-11-24,2128.15
2021-11-25,2116.72
2021-11-26,2066.0
2021-11-29,2015.38
2021-11-30,1960.72
2021-12-01,2018.81
2021-12-02,2068.07
2021-12-03,2074.83
2021-12-06,2089.89
2021-12-07,2099.0
2021-12-08,2089.93
2021-12-09,2103.49
2021-12-10,2118.19
2021-12-13,2127.31
2021-12-14,2115.12
2021-12-15,2095.91
2021-12-16,2107.45
2021-12-17,2099.43
2021-12-20,2056.54
2021-12-21,2064.6
2021-12-22,2081.95
2021-12-23,2101.32
2021-12-24,2144.85
2021-12-27,2131.63
2021-12-28,2134.5
2021-12-29,2126.37
2021-12-30,2101.78
2022-01-03,2116.36
2022-01-04,2136.09
2022-01-05,2168.01
2022-01-06,2194.74
2022-01-07,2210.65
2022-01-10,2164.17
2022-01-11,2149.0
2022-01-12,2170.28
2022-01-13,2152.66
2022-01-14,2140.58
2022-01-17,2098.32
2022-01-18,2066.7
2022-01-19,2043.13
2022-01-20,2059.95
2022-01-21,2039.02
2022-01-24,1992.67
2022-01-25,1947.86
2022-01-26,1932.09
2022-01-27,1902.38
2022-01-28,1957.79
2022-02-03,1969.26
2022-02-04,1969.91
2022-02-07,1945.83
2022-02-08,1935.41
2022-02-09,1963.2
2022-02-10,1955.66
2022-02-11,1928.9
2022-02-14,1871.85
2022-02-15,1888.06
2022-02-16,1923.1
2022-02-17,1929.3
2022-02-18,1930.38
2022-02-21,1936.66
2022-02-22,1910.53
2022-02-23,1947.33
2022-02-24,1869.02
2022-02-25,1891.48
2022-02-28,1901.41
2022-03-02,1899.09
2022-03-03,1930.64
2022-03-04,1916.12
2022-03-07,1880.92
2022-03-08,1851.48
2022-03-10,1863.6
2022-03-11,1853.77
2022-03-14,1822.78
2022-03-15,1799.28
2022-03-16,1840.26
2022-03-17,1845.57
2022-03-18,1856.52
2022-03-21,1833.72
2022-03-22,1880.03
2022-03-23,1897.53
2022-03-24,1900.08
2022-03-25,1891.48
2022-03-28,1902.21
2022-03-29,1907.76
2022-03-30,1931.89
2022-03-31,1934.16
2022-04-01,1923.68
2022-04-04,1922.58
2022-04-05,1936.76
2022-04-06,1951.69
2022-04-07,1915.38
2022-04-08,1903.2
2022-04-11,1933.46
2022-04-12,1926.69
2022-04-13,1979.46
2022-04-14,1967.49
2022-04-15,1989.48
2022-04-18,1999.83
2022-04-19,2028.22
2022-04-20,2037.74
2022-04-21,2031.8
2022-04-22,2011.35
2022-04-25,1991.7
2022-04-26,2035.85
2022-04-27,2037.17
2022-04-28,2055.61
2022-04-29,2036.16
2022-05-02,2048.08
2022-05-03,2024.17
