날짜,지수
2020-04-20,310.04
2020-04-21,306.21
2020-04-22,309.65
2020-04-23,315.21
2020-04-24,311.51
2020-04-27,323.83
2020-04-28,332.23
2020-04-29,336.21
2020-05-04,325.38
2020-05-06,335.11
2020-05-07,330.76
2020-05-08,331.92
2020-05-11,325.84
2020-05-12,320.89
2020-05-13,322.96
2020-05-14,321.93
2020-05-15,322.54
2020-05-18,323.22
2020-05-19,332.03
2020-05-20,331.71
2020-05-21,331.39
2020-05-22,326.12
2020-05-25,328.66
2020-05-26,333.65
2020-05-27,334.0
2020-05-28,328.39
2020-05-29,331.1
2020-06-01,336.31
2020-06-02,341.53
2020-06-03,346.19
2020-06-04,346.27
2020-06-05,352.1
2020-06-08,352.22
2020-06-09,350.04
2020-06-10,347.81
2020-06-11,342.42
2020-06-12,333.0
2020-06-15,324.6
2020-06-16,346.71
2020-06-17,344.22
2020-06-18,342.81
2020-06-19,342.18
2020-06-22,335.41
2020-06-23,333.58
2020-06-24,335.88
2020-06-25,328.58
2020-06-26,331.62
2020-06-29,327.05
2020-06-30,331.13
2020-07-01,328.03
2020-07-02,332.67
2020-07-03,331.88
2020-07-06,332.72
2020-07-07,329.87
2020-07-08,328.18
2020-07-09,327.08
2020-07-10,320.54
2020-07-13,327.0
2020-07-14,328.34
2020-07-15,331.84
2020-07-16,331.24
2020-07-17,331.37
2020-07-20,327.92
2020-07-21,332.59
2020-07-22,331.97
2020-07-23,326.65
2020-07-24,322.91
2020-07-27,325.63
2020-07-28,327.59
2020-07-29,329.93
2020-07-30,328.27
2020-07-31,324.85
2020-08-03,319.38
2020-08-04,322.72
2020-08-05,323.54
2020-08-06,328.63
2020-08-07,325.65
2020-08-10,331.3
2020-08-11,334.41
2020-08-12,348.38
2020-08-13,356.57
2020-08-14,356.7
2020-08-18,337.31
2020-08-19,344.32
2020-08-20,328.47
2020-08-21,333.14
2020-08-24,335.19
2020-08-25,339.92
2020-08-26,334.97
2020-08-27,327.08
2020-08-28,331.98
2020-08-31,328.53
2020-09-01,334.49
2020-09-02,335.33
2020-09-03,336.7
2020-09-04,332.33
2020-09-07,337.7
2020-09-08,340.27
2020-09-09,335.48
2020-09-10,338.02
2020-09-11,345.12
2020-09-14,349.37
2020-09-15,349.32
2020-09-16,346.73
2020-09-17,342.61
2020-09-18,343.16
2020-09-21,341.84
2020-09-22,332.99
2020-09-23,334.49
2020-09-24,326.19
2020-09-25,327.93
2020-09-28,333.44
2020-09-29,336.26
2020-10-05,338.5
2020-10-06,335.64
2020-10-07,337.22
2020-10-08,338.24
2020-10-12,345.75
2020-10-13,345.94
2020-10-14,341.59
2020-10-15,338.36
2020-10-16,337.88
2020-10-19,344.2
2020-10-20,343.79
2020-10-21,349.44
2020-10-22,348.88
2020-10-23,347.12
2020-10-26,356.92
2020-10-27,350.94
2020-10-28,350.69
2020-10-29,344.95
2020-10-30,340.07
2020-11-02,345.47
2020-11-03,348.75
2020-11-04,351.26
2020-11-05,356.06
2020-11-06,353.54
2020-11-09,356.95
2020-11-10,364.03
2020-11-11,375.56
2020-11-12,372.83
2020-11-13,370.23
2020-11-16,375.3
2020-11-17,375.09
2020-11-18,370.91
2020-11-19,370.42
2020-11-20,371.49
2020-11-23,373.04
2020-11-24,377.43
2020-11-25,373.57
2020-11-26,370.72
2020-11-27,371.58
2020-11-30,369.32
2020-12-01,371.51
2020-12-02,375.63
2020-12-03,375.45
2020-12-04,375.06
2020-12-07,371.78
2020-12-08,371.86
2020-12-09,376.41
2020-12-10,377.83
2020-12-11,390.17
2020-12-14,385.51
2020-12-15,384.17
2020-12-16,385.62
2020-12-17,383.39
2020-12-18,385.45
2020-12-21,383.66
2020-12-22,385.19
2020-12-23,389.73
2020-12-24,394.52
2020-12-28,394.05
2020-12-29,390.38
2020-12-30,394.67
2021-01-04,400.54
2021-01-05,405.32
2021-01-06,398.92
2021-01-07,411.16
2021-01-08,421.76
2021-01-11,416.02
2021-01-12,416.79
2021-01-13,419.46
2021-01-14,427.02
2021-01-15,423.37
2021-01-18,405.31
2021-01-19,412.21
2021-01-20,411.58
2021-01-21,425.5
2021-01-22,420.99
2021-01-25,425.31
2021-01-26,414.93
2021-01-27,413.09
2021-01-28,401.21
2021-01-29,392.02
2021-02-01,396.28
2021-02-02,400.21
2021-02-03,406.73
2021-02-04,405.33
2021-02-05,410.48
2021-02-08,414.09
2021-02-09,411.92
2021-02-10,415.08
2021-02-15,415.49
2021-02-16,419.12
2021-02-17,416.53
2021-02-18,410.8
2021-02-19,410.42
2021-02-22,408.13
2021-02-23,410.18
2021-02-24,398.69
2021-02-25,408.74
2021-02-26,399.95
2021-03-02,402.13
2021-03-03,412.26
2021-03-04,410.39
2021-03-05,402.81
2021-03-08,399.86
2021-03-09,401.09
2021-03-10,396.8
2021-03-11,399.48
2021-03-12,406.36
2021-03-15,406.58
2021-03-16,411.54
2021-03-17,409.44
2021-03-18,412.08
2021-03-19,410.86
2021-03-22,409.58
2021-03-23,405.82
2021-03-24,403.29
2021-03-25,410.08
2021-03-26,411.64
2021-03-29,408.79
2021-03-30,413.76
2021-03-31,411.58
2021-04-01,410.57
2021-04-02,409.46
2021-04-05,411.11
2021-04-06,411.79
2021-04-07,416.03
2021-04-08,415.17
2021-04-09,417.06
2021-04-12,417.11
2021-04-13,423.48
2021-04-14,427.72
2021-04-15,423.47
2021-04-16,427.77
2021-04-19,427.32
2021-04-20,432.12
2021-04-21,423.18
2021-04-22,422.66
2021-04-23,422.61
2021-04-26,427.49
2021-04-27,427.74
2021-04-28,420.6
2021-04-29,430.71
2021-04-30,425.76
2021-05-03,419.77
2021-05-04,420.3
2021-05-06,424.68
2021-05-07,431.42
2021-05-10,443.0
2021-05-11,441.06
2021-05-12,438.4
2021-05-13,430.21
2021-05-14,437.98
2021-05-17,439.78
2021-05-18,441.01
2021-05-20,437.85
2021-05-21,430.97
2021-05-24,429.51
2021-05-25,435.01
2021-05-26,438.03
2021-05-27,436.24
2021-05-28,439.18
2021-05-31,443.59
2021-06-01,450.87
2021-06-02,450.58
2021-06-03,449.97
2021-06-04,444.22
2021-06-07,449.36
2021-06-08,449.53
2021-06-09,446.63
2021-06-10,447.03
2021-06-11,446.7
2021-06-14,444.84
2021-06-15,441.53
2021-06-16,443.67
2021-06-17,440.63
2021-06-18,438.78
2021-06-21,430.39
2021-06-22,434.9
2021-06-23,432.35
2021-06-24,432.81
2021-06-25,440.16
2021-06-28,442.49
2021-06-29,442.64
2021-06-30,441.28
2021-07-01,435.78
2021-07-02,434.44
2021-07-05,433.97
2021-07-06,437.18
2021-07-07,432.22
2021-07-08,425.74
2021-07-09,418.43
2021-07-12,424.54
2021-07-13,431.29
2021-07-14,436.18
2021-07-15,435.24
2021-07-16,434.88
2021-07-19,429.57
2021-07-20,425.9
2021-07-21,430.12
2021-07-22,434.4
2021-07-23,437.05
2021-07-26,433.87
2021-07-27,437.5
2021-07-28,441.14
2021-07-29,444.32
2021-07-30,438.83
2021-08-02,441.17
2021-08-03,439.21
2021-08-04,445.76
2021-08-05,445.84
2021-08-06,444.7
2021-08-09,440.86
2021-08-10,436.93
2021-08-11,435.36
2021-08-12,430.69
2021-08-13,428.85
2021-08-17,419.41
2021-08-18,420.58
2021-08-19,406.04
2021-08-20,399.72
2021-08-23,406.73
2021-08-24,416.98
2021-08-25,419.32
2021-08-26,417.56
2021-08-27,419.72
2021-08-30,420.45
2021-08-31,423.68
2021-09-01,423.93
2021-09-02,423.57
2021-09-03,423.94
2021-09-06,425.74
2021-09-07,426.27
2021-09-08,424.83
2021-09-09,417.75
2021-09-10,421.58
2021-09-13,422.68
2021-09-14,427.06
2021-09-15,425.35
2021-09-16,424.6
2021-09-17,425.11
2021-09-23,422.8
2021-09-24,419.46
2021-09-27,418.95
2021-09-28,414.82
2021-09-29,408.5
2021-09-30,409.67
2021-10-01,401.19
2021-10-05,403.96
2021-10-06,396.95
2021-10-07,401.98
2021-10-08,400.11
2021-10-12,393.29
2021-10-13,397.82
2021-10-14,401.08
2021-10-15,406.36
2021-10-18,403.48
2021-10-19,402.1
2021-10-20,400.29
2021-10-21,400.5
2021-10-22,401.51
2021-10-25,406.3
2021-10-26,407.0
2021-10-27,403.01
2021-10-28,395.23
2021-10-29,390.62
2021-11-01,389.53
2021-11-02,393.1
2021-11-03,390.79
2021-11-04,389.27
2021-11-05,385.0
2021-11-08,389.24
2021-11-09,388.15
2021-11-10,380.2
2021-11-11,375.12
2021-11-12,381.49
2021-11-15,385.31
2021-11-16,383.47
2021-11-17,377.28
2021-11-18,373.27
2021-11-19,376.75
2021-11-22,380.07
2021-11-23,383.21
2021-11-24,380.91
2021-11-25,375.87
2021-11-26,367.31
2021-11-29,357.12
2021-11-30,348.09
2021-12-01,354.84
2021-12-02,365.12
2021-12-03,368.43
2021-12-06,370.03
2021-12-07,373.95
