날짜,지수
2020-04-20,1874.54
2020-04-21,1865.52
2020-04-22,1851.55
2020-04-23,1880.36
2020-04-24,1912.65
2020-04-27,1908.03
2020-04-28,1912.03
2020-04-29,1926.34
2020-05-04,1903.93
2020-05-06,1976.86
2020-05-07,2063.59
2020-05-08,2085.31
2020-05-11,2112.68
2020-05-12,2098.93
2020-05-13,2117.91
2020-05-14,2098.13
2020-05-15,2144.54
2020-05-18,2142.06
2020-05-19,2190.4
2020-05-20,2287.9
2020-05-21,2343.4
2020-05-22,2316.25
2020-05-25,2327.4
2020-05-26,2292.75
2020-05-27,2275.54
2020-05-28,2210.88
2020-05-29,2186.3
2020-06-01,2224.59
2020-06-02,2282.3
2020-06-03,2244.19
2020-06-04,2236.01
2020-06-05,2246.08
2020-06-08,2257.51
2020-06-09,2234.98
2020-06-10,2263.78
2020-06-11,2221.14
2020-06-12,2145.24
2020-06-15,2027.3
2020-06-16,2125.92
2020-06-17,2153.51
2020-06-18,2152.02
2020-06-19,2154.31
2020-06-22,2191.54
2020-06-23,2160.97
2020-06-24,2196.97
2020-06-25,2149.13
2020-06-26,2156.1
2020-06-29,2125.56
2020-06-30,2210.42
2020-07-01,2202.99
2020-07-02,2236.29
2020-07-03,2293.06
2020-07-06,2388.02
2020-07-07,2350.98
2020-07-08,2351.48
2020-07-09,2393.08
2020-07-10,2348.96
2020-07-13,2376.94
2020-07-14,2329.44
2020-07-15,2338.16
2020-07-16,2360.6
2020-07-17,2370.98
2020-07-20,2358.41
2020-07-21,2375.87
2020-07-22,2389.87
2020-07-23,2366.26
2020-07-24,2310.75
2020-07-27,2414.65
2020-07-28,2474.75
2020-07-29,2453.98
2020-07-30,2452.94
2020-07-31,2405.32
2020-08-03,2428.14
2020-08-04,2457.8
2020-08-05,2455.66
2020-08-06,2494.33
2020-08-07,2452.33
2020-08-10,2453.06
2020-08-11,2440.52
2020-08-12,2390.05
2020-08-13,2398.03
2020-08-14,2383.55
2020-08-18,2260.43
2020-08-19,2279.58
2020-08-20,2126.9
2020-08-21,2141.67
2020-08-24,2165.43
2020-08-25,2197.42
2020-08-26,2184.8
2020-08-27,2138.16
2020-08-28,2122.74
2020-08-31,2150.94
2020-09-01,2196.66
2020-09-02,2191.89
2020-09-03,2292.26
2020-09-04,2274.94
2020-09-07,2315.21
2020-09-08,2292.39
2020-09-09,2256.62
2020-09-10,2277.1
2020-09-11,2299.27
2020-09-14,2335.26
2020-09-15,2323.79
2020-09-16,2292.41
2020-09-17,2261.95
2020-09-18,2269.59
2020-09-21,2253.96
2020-09-22,2192.28
2020-09-23,2187.31
2020-09-24,2137.98
2020-09-25,2161.58
2020-09-28,2262.37
2020-09-29,2268.23
2020-10-05,2288.89
2020-10-06,2289.0
2020-10-07,2294.38
2020-10-08,2307.11
2020-10-12,2292.52
2020-10-13,2349.67
2020-10-14,2325.21
2020-10-15,2357.54
2020-10-16,2351.0
2020-10-19,2381.52
2020-10-20,2386.57
2020-10-21,2393.82
2020-10-22,2350.11
2020-10-23,2348.94
2020-10-26,2365.74
2020-10-27,2293.32
2020-10-28,2346.76
2020-10-29,2369.56
2020-10-30,2305.02
2020-11-02,2316.93
2020-11-03,2370.9
2020-11-04,2389.04
2020-11-05,2418.8
2020-11-06,2426.39
2020-11-09,2441.73
2020-11-10,2478.31
2020-11-11,2513.61
2020-11-12,2521.36
2020-11-13,2531.93
2020-11-16,2608.12
2020-11-17,2564.95
2020-11-18,2523.43
2020-11-19,2537.65
2020-11-20,2570.57
2020-11-23,2571.67
2020-11-24,2603.01
2020-11-25,2536.98
2020-11-26,2525.3
2020-11-27,2575.7
2020-11-30,2523.46
2020-12-01,2546.08
2020-12-02,2593.76
2020-12-03,2603.28
2020-12-04,2628.19
2020-12-07,2598.03
2020-12-08,2601.37
2020-12-09,2648.58
2020-12-10,2644.7
2020-12-11,2629.01
2020-12-14,2585.67
2020-12-15,2651.88
2020-12-16,2675.93
2020-12-17,2697.3
2020-12-18,2684.27
2020-12-21,2684.2
2020-12-22,2607.12
2020-12-23,2618.21
2020-12-24,2665.87
2020-12-28,2668.75
2020-12-29,2769.19
2020-12-30,2795.33
2021-01-04,2806.25
2021-01-05,2794.17
2021-01-06,2806.05
2021-01-07,2830.12
2021-01-08,2819.57
2021-01-11,2769.47
2021-01-12,2810.15
2021-01-13,2828.22
2021-01-14,2853.13
2021-01-15,2904.49
2021-01-18,2801.52
2021-01-19,2848.82
2021-01-20,2942.93
2021-01-21,2940.71
2021-01-22,2935.95
2021-01-25,2983.6
2021-01-26,2963.35
2021-01-27,2898.6
2021-01-28,2859.12
2021-01-29,2740.77
2021-02-01,2847.99
2021-02-02,2919.45
2021-02-03,2953.7
2021-02-04,2935.74
2021-02-05,3008.01
2021-02-08,2947.61
2021-02-09,2926.47
2021-02-10,2962.51
2021-02-15,3047.38
2021-02-16,3030.19
2021-02-17,3022.89
2021-02-18,2967.32
2021-02-19,2962.78
2021-02-22,2900.48
2021-02-23,2870.36
2021-02-24,2835.68
2021-02-25,3036.97
2021-02-26,3012.3
2021-03-02,3005.04
2021-03-03,3033.83
2021-03-04,3019.24
2021-03-05,3051.0
2021-03-08,3019.2
2021-03-09,2988.62
2021-03-10,3041.54
2021-03-11,3085.5
2021-03-12,3086.29
2021-03-15,3120.66
2021-03-16,3184.02
2021-03-17,3177.04
2021-03-18,3157.13
2021-03-19,3178.58
2021-03-22,3171.66
2021-03-23,3137.52
2021-03-24,3183.41
2021-03-25,3232.4
2021-03-26,3199.55
2021-03-29,3154.49
