날짜,지수
2020-04-20,1135.66
2020-04-21,1126.4
2020-04-22,1141.36
2020-04-23,1161.17
2020-04-24,1149.6
2020-04-27,1160.9
2020-04-28,1173.98
2020-04-29,1176.98
2020-05-04,1163.85
2020-05-06,1210.88
2020-05-07,1240.29
2020-05-08,1247.95
2020-05-11,1263.7
2020-05-12,1280.61
2020-05-13,1279.04
2020-05-14,1280.52
2020-05-15,1266.97
2020-05-18,1261.79
2020-05-19,1268.56
2020-05-20,1300.26
2020-05-21,1319.75
2020-05-22,1327.42
2020-05-25,1378.72
2020-05-26,1385.76
2020-05-27,1363.0
2020-05-28,1376.24
2020-05-29,1353.58
2020-06-01,1383.32
2020-06-02,1378.44
2020-06-03,1354.12
2020-06-04,1367.31
2020-06-05,1364.92
2020-06-08,1381.77
2020-06-09,1377.21
2020-06-10,1403.85
2020-06-11,1395.94
2020-06-12,1382.59
2020-06-15,1318.51
2020-06-16,1389.96
2020-06-17,1398.18
2020-06-18,1385.94
2020-06-19,1391.01
2020-06-22,1432.46
2020-06-23,1463.63
2020-06-24,1475.15
2020-06-25,1430.33
2020-06-26,1429.6
2020-06-29,1399.95
2020-06-30,1414.2
2020-07-01,1417.04
2020-07-02,1474.35
2020-07-03,1507.72
2020-07-06,1571.72
2020-07-07,1572.79
2020-07-08,1590.37
2020-07-09,1610.31
2020-07-10,1626.03
2020-07-13,1631.62
2020-07-14,1601.92
2020-07-15,1581.43
2020-07-16,1542.17
2020-07-17,1559.04
2020-07-20,1530.19
2020-07-21,1546.09
2020-07-22,1542.42
2020-07-23,1552.88
2020-07-24,1538.04
2020-07-27,1547.4
2020-07-28,1558.84
2020-07-29,1573.61
2020-07-30,1573.61
2020-07-31,1584.23
2020-08-03,1618.2
2020-08-04,1625.39
2020-08-05,1636.34
2020-08-06,1655.15
2020-08-07,1641.04
2020-08-10,1648.04
2020-08-11,1649.32
2020-08-12,1653.67
2020-08-13,1661.91
2020-08-14,1644.68
2020-08-18,1635.62
2020-08-19,1657.51
2020-08-20,1594.64
2020-08-21,1614.08
2020-08-24,1645.58
2020-08-25,1661.36
2020-08-26,1675.43
2020-08-27,1694.65
2020-08-28,1685.95
