날짜,지수
2020-04-20,675.91
2020-04-21,677.61
2020-04-22,695.44
2020-04-23,717.93
2020-04-24,701.86
2020-04-27,734.95
2020-04-28,733.69
2020-04-29,736.85
2020-05-04,711.5
2020-05-06,701.76
2020-05-07,704.26
2020-05-08,703.17
2020-05-11,694.08
2020-05-12,681.28
2020-05-13,696.42
2020-05-14,723.96
2020-05-15,695.98
2020-05-18,685.34
2020-05-19,692.64
2020-05-20,687.46
2020-05-21,689.27
2020-05-22,679.26
2020-05-25,685.58
2020-05-26,689.87
2020-05-27,692.32
2020-05-28,686.88
2020-05-29,693.39
2020-06-01,695.6
2020-06-02,699.33
2020-06-03,713.76
2020-06-04,704.36
2020-06-05,715.37
2020-06-08,713.83
2020-06-09,718.56
2020-06-10,701.23
2020-06-11,694.61
2020-06-12,672.38
2020-06-15,632.89
2020-06-16,666.16
2020-06-17,652.6
2020-06-18,649.32
2020-06-19,650.34
2020-06-22,642.04
2020-06-23,637.17
2020-06-24,639.06
2020-06-25,622.4
2020-06-26,626.62
2020-06-29,614.01
2020-06-30,625.89
2020-07-01,619.47
2020-07-02,622.64
2020-07-03,625.42
2020-07-06,625.49
2020-07-07,615.56
2020-07-08,616.58
2020-07-09,615.47
2020-07-10,605.56
2020-07-13,639.01
2020-07-14,636.17
2020-07-15,630.87
2020-07-16,630.27
2020-07-17,634.4
2020-07-20,639.16
2020-07-21,635.09
2020-07-22,635.15
2020-07-23,624.24
2020-07-24,626.46
2020-07-27,622.16
2020-07-28,617.84
2020-07-29,622.6
2020-07-30,618.55
2020-07-31,616.31
2020-08-03,614.37
2020-08-04,617.99
2020-08-05,616.87
2020-08-06,620.89
2020-08-07,626.51
2020-08-10,623.49
2020-08-11,665.93
2020-08-12,666.34
2020-08-13,684.58
2020-08-14,692.88
2020-08-18,651.28
2020-08-19,657.74
2020-08-20,632.64
2020-08-21,635.98
2020-08-24,637.1
2020-08-25,664.0
2020-08-26,649.67
2020-08-27,645.26
2020-08-28,652.96
2020-08-31,648.67
2020-09-01,668.62
