날짜,지수
2020-04-20,18119.34
2020-04-21,17855.26
2020-04-22,18105.35
2020-04-23,18067.07
2020-04-24,17841.82
2020-04-27,18060.79
2020-04-28,18159.04
2020-04-29,18179.44
2020-05-04,17645.74
2020-05-06,17916.28
2020-05-07,17823.75
2020-05-08,17948.5
2020-05-11,17824.99
2020-05-12,17722.06
2020-05-13,17929.83
2020-05-14,17663.89
2020-05-15,17652.13
2020-05-18,17932.81
2020-05-19,18416.51
2020-05-20,18438.71
2020-05-21,18410.66
2020-05-22,18000.75
2020-05-25,18090.4
2020-05-26,18378.67
2020-05-27,18469.97
2020-05-28,18647.95
2020-05-29,18657.3
2020-06-01,18910.76
2020-06-02,18983.82
2020-06-03,19978.0
2020-06-04,20000.66
2020-06-05,20344.12
2020-06-08,20237.89
2020-06-09,20392.6
2020-06-10,20455.9
2020-06-11,20088.84
2020-06-12,19415.55
2020-06-15,18464.99
2020-06-16,19328.02
2020-06-17,19451.73
2020-06-18,19415.88
2020-06-19,19583.64
2020-06-22,19306.04
2020-06-23,19152.91
2020-06-24,19626.25
2020-06-25,19239.57
2020-06-26,19620.49
2020-06-29,19293.17
2020-06-30,19455.28
2020-07-01,19428.44
2020-07-02,19498.13
2020-07-03,19740.15
2020-07-06,20212.68
2020-07-07,19723.98
2020-07-08,19580.98
2020-07-09,19563.11
2020-07-10,19522.5
2020-07-13,19764.7
2020-07-14,19855.7
2020-07-15,20161.55
2020-07-16,19875.45
2020-07-17,20058.5
2020-07-20,19978.58
2020-07-21,20387.82
2020-07-22,20221.25
2020-07-23,20026.66
2020-07-24,20034.53
2020-07-27,20393.49
2020-07-28,21256.25
2020-07-29,21345.32
2020-07-30,21414.08
2020-07-31,21062.73
2020-08-03,20831.93
2020-08-04,20990.68
2020-08-05,21027.72
2020-08-06,21325.18
2020-08-07,21233.47
2020-08-10,21379.86
2020-08-11,21447.86
2020-08-12,21679.34
2020-08-13,21583.23
2020-08-14,21307.4
2020-08-18,21180.31
2020-08-19,20957.24
2020-08-20,20079.36
2020-08-21,20390.56
2020-08-24,20578.25
2020-08-25,20741.51
2020-08-26,20812.45
2020-08-27,20613.69
2020-08-28,20513.74
2020-08-31,20007.16
2020-09-01,20133.3
2020-09-02,20214.64
2020-09-03,20856.27
2020-09-04,20635.43
2020-09-07,20917.4
2020-09-08,21550.76
2020-09-09,21410.99
2020-09-10,21644.02
2020-09-11,21646.67
2020-09-14,22085.59
2020-09-15,22330.14
2020-09-16,22275.15
2020-09-17,21874.76
2020-09-18,21894.07
2020-09-21,21833.4
2020-09-22,21419.58
2020-09-23,21578.46
2020-09-24,21225.21
2020-09-25,21239.74
2020-09-28,21372.39
2020-09-29,21473.6
2020-10-05,21617.71
2020-10-06,21686.13
2020-10-07,21977.93
2020-10-08,21926.59
2020-10-12,22176.48
2020-10-13,22415.6
2020-10-14,22322.08
2020-10-15,22052.38
2020-10-16,21799.57
2020-10-19,21952.3
2020-10-20,22215.03
2020-10-21,22175.9
2020-10-22,21890.14
2020-10-23,21921.99
2020-10-26,21882.01
2020-10-27,21751.16
2020-10-28,21588.8
2020-10-29,21287.78
2020-10-30,20801.35
2020-11-02,21020.57
2020-11-03,21535.18
2020-11-04,21517.7
2020-11-05,22183.77
2020-11-06,22179.5
2020-11-09,22335.27
2020-11-10,22346.26
2020-11-11,22587.37
2020-11-12,22556.89
2020-11-13,23154.24
2020-11-16,24200.32
2020-11-17,24046.91
2020-11-18,23851.77
2020-11-19,23871.36
2020-11-20,23874.76
2020-11-23,24754.8
2020-11-24,24852.44
2020-11-25,24471.11
2020-11-26,24955.67
2020-11-27,25045.31
2020-11-30,24527.27
2020-12-01,24973.17
2020-12-02,25703.53
2020-12-03,25856.38
2020-12-04,26433.51
2020-12-07,26846.49
2020-12-08,26503.05
2020-12-09,27323.91
2020-12-10,26943.42
2020-12-11,27041.21
2020-12-14,27164.16
2020-12-15,27214.22
2020-12-16,27316.47
2020-12-17,27272.28
2020-12-18,27153.09
2020-12-21,27062.3
2020-12-22,26656.5
2020-12-23,27438.16
2020-12-24,28470.88
2020-12-28,28720.19
2020-12-29,28883.9
2020-12-30,29788.48
2021-01-04,30774.97
2021-01-05,31178.4
2021-01-06,30701.1
2021-01-07,31198.8
2021-01-08,33017.48
2021-01-11,33346.41
2021-01-12,33141.37
2021-01-13,33123.96
2021-01-14,33104.51
2021-01-15,32437.72
2021-01-18,31614.83
2021-01-19,32387.58
2021-01-20,32671.25
2021-01-21,33110.93
2021-01-22,32785.99
2021-01-25,33691.13
2021-01-26,32752.69
2021-01-27,32404.68
2021-01-28,31595.47
2021-01-29,30849.19
2021-02-01,31331.4
2021-02-02,31901.92
2021-02-03,32051.47
2021-02-04,31267.94
2021-02-05,31680.61
2021-02-08,31421.67
2021-02-09,31393.69
2021-02-10,31224.26
2021-02-15,32189.01
2021-02-16,32431.37
2021-02-17,31934.65
2021-02-18,31412.55
2021-02-19,31708.85
2021-02-22,31562.47
2021-02-23,31380.08
2021-02-24,31061.49
2021-02-25,32456.57
2021-02-26,31278.98
2021-03-02,31757.52
