날짜,지수
2020-04-20,12967.02
2020-04-21,13033.61
2020-04-22,13091.84
2020-04-23,13323.27
2020-04-24,13104.9
2020-04-27,13135.63
2020-04-28,13036.17
2020-04-29,12996.52
2020-05-04,12626.62
2020-05-06,12911.67
2020-05-07,12781.86
2020-05-08,13178.65
2020-05-11,13178.8
2020-05-12,13294.65
2020-05-13,13591.91
2020-05-14,13620.87
2020-05-15,13577.91
2020-05-18,13440.71
2020-05-19,13394.96
2020-05-20,13507.2
2020-05-21,13607.1
2020-05-22,13608.56
2020-05-25,13741.94
2020-05-26,13895.57
2020-05-27,13667.49
2020-05-28,13496.68
2020-05-29,13662.77
2020-06-01,14044.29
2020-06-02,13998.75
2020-06-03,14012.57
2020-06-04,14597.25
2020-06-05,15097.86
2020-06-08,15216.95
2020-06-09,15702.3
2020-06-10,16078.48
2020-06-11,16889.38
2020-06-12,17547.07
2020-06-15,16907.64
2020-06-16,17676.17
2020-06-17,17618.87
2020-06-18,17470.01
2020-06-19,17332.01
2020-06-22,17356.64
2020-06-23,17771.05
2020-06-24,17956.5
2020-06-25,17844.74
2020-06-26,17671.92
2020-06-29,17332.13
2020-06-30,17125.94
2020-07-01,16725.46
2020-07-02,17282.53
2020-07-03,17210.0
2020-07-06,17012.76
2020-07-07,17033.47
2020-07-08,16912.79
2020-07-09,17197.01
2020-07-10,17200.74
2020-07-13,17429.61
2020-07-14,17450.65
2020-07-15,17394.98
2020-07-16,17157.0
2020-07-17,17617.21
2020-07-20,17825.94
2020-07-21,17989.81
2020-07-22,18638.17
2020-07-23,18697.35
2020-07-24,18414.58
2020-07-27,17984.94
2020-07-28,18086.51
2020-07-29,17594.7
2020-07-30,17532.08
2020-07-31,17331.91
2020-08-03,17472.45
2020-08-04,17763.84
2020-08-05,18888.69
2020-08-06,18715.55
2020-08-07,18600.58
2020-08-10,18612.15
2020-08-11,18923.2
2020-08-12,18899.83
2020-08-13,18758.69
2020-08-14,18475.8
2020-08-18,18396.91
2020-08-19,18657.0
2020-08-20,18683.87
2020-08-21,18559.04
2020-08-24,19103.01
2020-08-25,19234.34
2020-08-26,19329.46
2020-08-27,19034.95
2020-08-28,18994.31
2020-08-31,18913.09
2020-09-01,19077.76
2020-09-02,19218.83
2020-09-03,19321.95
2020-09-04,19072.26
2020-09-07,19337.92
2020-09-08,19482.17
2020-09-09,18801.46
2020-09-10,18895.58
2020-09-11,18975.67
2020-09-14,18882.86
2020-09-15,19012.66
2020-09-16,19107.16
2020-09-17,18717.32
2020-09-18,19089.55
2020-09-21,18647.22
2020-09-22,17937.22
2020-09-23,17601.66
2020-09-24,16649.88
2020-09-25,16701.96
2020-09-28,16771.63
2020-09-29,16893.67
2020-10-05,16855.73
2020-10-06,17274.13
2020-10-07,17452.81
2020-10-08,17458.62
2020-10-12,17650.78
2020-10-13,17478.91
2020-10-14,17163.78
2020-10-15,16831.58
2020-10-16,16598.19
2020-10-19,16631.19
2020-10-20,16336.15
2020-10-21,16461.44
2020-10-22,15996.93
2020-10-23,15947.99
2020-10-26,15707.51
2020-10-27,15631.36
2020-10-28,15893.55
2020-10-29,16715.43
2020-10-30,16231.37
2020-11-02,16489.48
2020-11-03,17103.65
2020-11-04,17658.81
2020-11-05,18228.75
2020-11-06,18304.87
2020-11-09,18360.56
2020-11-10,18071.25
2020-11-11,18384.97
2020-11-12,18104.01
2020-11-13,18216.65
2020-11-16,18222.35
2020-11-17,18302.92
2020-11-18,18800.27
2020-11-19,18969.82
2020-11-20,19024.29
2020-11-23,19096.0
2020-11-24,19003.7
2020-11-25,19474.5
2020-11-26,19553.13
2020-11-27,19696.93
2020-11-30,19761.92
2020-12-01,20076.61
2020-12-02,20386.2
2020-12-03,20533.3
2020-12-04,21351.09
2020-12-07,22448.17
2020-12-08,20745.76
2020-12-09,20772.65
2020-12-10,20911.81
2020-12-11,20763.17
2020-12-14,20814.92
2020-12-15,20600.94
2020-12-16,20543.9
2020-12-17,20580.53
2020-12-18,20909.15
2020-12-21,21481.81
2020-12-22,20866.36
2020-12-23,20279.98
2020-12-24,20133.35
2020-12-28,19697.49
2020-12-29,20928.1
2020-12-30,21085.04
2021-01-04,21038.09
2021-01-05,21192.45
2021-01-06,21118.07
2021-01-07,21258.37
2021-01-08,21486.8
2021-01-11,21412.9
2021-01-12,21289.03
2021-01-13,21335.86
2021-01-14,20800.12
2021-01-15,20142.19
2021-01-18,19357.95
2021-01-19,19396.93
2021-01-20,19463.24
2021-01-21,19531.92
2021-01-22,19449.68
2021-01-25,19791.44
2021-01-26,19877.35
2021-01-27,20370.66
2021-01-28,20176.59
2021-01-29,19286.05
2021-02-01,20506.91
2021-02-02,20336.05
2021-02-03,20180.78
2021-02-04,19834.55
2021-02-05,19865.86
2021-02-08,19587.04
2021-02-09,19430.45
2021-02-10,19483.89
2021-02-15,19590.42
2021-02-16,19317.91
2021-02-17,19078.27
2021-02-18,18809.67
2021-02-19,18973.93
2021-02-22,18677.77
2021-02-23,18128.88
2021-02-24,17599.62
2021-02-25,18550.82
2021-02-26,18113.52
2021-03-02,18010.52
2021-03-03,18336.18
2021-03-04,18163.94
2021-03-05,17835.46
2021-03-08,17274.08
2021-03-09,17037.34
2021-03-10,16958.91
2021-03-11,17384.1
2021-03-12,17804.97
2021-03-15,17608.14
2021-03-16,17977.93
2021-03-17,17907.9
2021-03-18,17810.92
2021-03-19,17614.21
2021-03-22,17466.98
2021-03-23,17328.36
2021-03-24,17393.73
2021-03-25,17454.96
2021-03-26,17584.61
2021-03-29,17972.15
2021-03-30,17894.32
2021-03-31,17813.7
2021-04-01,17773.4
2021-04-02,17637.06
2021-04-05,17463.9
2021-04-06,17322.86
2021-04-07,17511.42
2021-04-08,17763.49
2021-04-09,17899.0
2021-04-12,18120.27
2021-04-13,18413.94
2021-04-14,18426.79
2021-04-15,18507.49
2021-04-16,18725.87
2021-04-19,18931.36
2021-04-20,18792.67
2021-04-21,18691.32
2021-04-22,18327.43
2021-04-23,18496.77
2021-04-26,18484.72
2021-04-27,18085.52
2021-04-28,17907.91
2021-04-29,17706.97
2021-04-30,17641.55
2021-05-03,16878.02
2021-05-04,17068.34
2021-05-06,17178.64
2021-05-07,17690.05
2021-05-10,18162.97
2021-05-11,17917.36
2021-05-12,17996.99
2021-05-13,18051.92
2021-05-14,18843.05
2021-05-17,18423.22
2021-05-18,18718.5
2021-05-20,18626.38
2021-05-21,18339.62
2021-05-24,18074.56
2021-05-25,18205.97
2021-05-26,18062.11
2021-05-27,17912.89
2021-05-28,18074.7
2021-05-31,18204.86
2021-06-01,18020.68
2021-06-02,17747.21
2021-06-03,17869.71
2021-06-04,17995.48
2021-06-07,17961.98
2021-06-08,18137.09
2021-06-09,17795.01
2021-06-10,18169.33
2021-06-11,18110.22
2021-06-14,18463.23
2021-06-15,18297.09
2021-06-16,18151.97
2021-06-17,18076.78
2021-06-18,18116.02
2021-06-21,18447.55
2021-06-22,18237.35
2021-06-23,18576.68
2021-06-24,18485.42
2021-06-25,18319.73
2021-06-28,18346.83
2021-06-29,18361.61
2021-06-30,18404.23
2021-07-01,18591.92
2021-07-02,18657.84
2021-07-05,19087.9
2021-07-06,18518.51
2021-07-07,18455.4
2021-07-08,18469.59
2021-07-09,18314.78
2021-07-12,18401.55
2021-07-13,18315.77
2021-07-14,18271.67
2021-07-15,18485.91
2021-07-16,18767.7
2021-07-19,18751.25
2021-07-20,18938.63
2021-07-21,18630.16
2021-07-22,18510.11
2021-07-23,18592.59
2021-07-26,18462.73
2021-07-27,18589.9
2021-07-28,18543.47
2021-07-29,18680.66
2021-07-30,18280.66
2021-08-02,18936.01
2021-08-03,18987.07
2021-08-04,19146.53
2021-08-05,19240.18
2021-08-06,19766.52
2021-08-09,19378.7
2021-08-10,20418.19
2021-08-11,20889.18
2021-08-12,20707.93
2021-08-13,20616.46
2021-08-17,21102.19
2021-08-18,20973.73
2021-08-19,20744.56
2021-08-20,20570.73
2021-08-23,21146.97
2021-08-24,20611.94
2021-08-25,20439.15
2021-08-26,20435.75
2021-08-27,20614.87
2021-08-30,20677.88
2021-08-31,21075.21
2021-09-01,21028.27
2021-09-02,20825.23
2021-09-03,21093.03
2021-09-06,20780.28
2021-09-07,20725.52
2021-09-08,20180.49
2021-09-09,20031.82
2021-09-10,20098.5
2021-09-13,19818.49
2021-09-14,19693.09
2021-09-15,20109.66
2021-09-16,19798.28
2021-09-17,19995.51
2021-09-23,19876.38
2021-09-24,19818.06
2021-09-27,19757.55
2021-09-28,19044.43
2021-09-29,19009.14
2021-09-30,18897.89
2021-10-01,18662.39
2021-10-05,17171.89
2021-10-06,16550.72
2021-10-07,16912.99
2021-10-08,17154.27
2021-10-12,17054.14
2021-10-13,17007.72
2021-10-14,17614.32
2021-10-15,17655.88
2021-10-18,17395.94
2021-10-19,17552.28
2021-10-20,17527.35
2021-10-21,17425.16
2021-10-22,17581.02
2021-10-25,17371.34
2021-10-26,17671.55
2021-10-27,17756.26
2021-10-28,17727.39
2021-10-29,17107.05
2021-11-01,17219.46
2021-11-02,17348.38
2021-11-03,17523.88
2021-11-04,17482.47
2021-11-05,17451.11
2021-11-08,16463.86
2021-11-09,16647.44
2021-11-10,16683.97
2021-11-11,16596.58
2021-11-12,16941.89
2021-11-15,17666.03
2021-11-16,17681.82
2021-11-17,17135.46
2021-11-18,16949.34
2021-11-19,17608.74
2021-11-22,17472.72
2021-11-23,17021.9
2021-11-24,16990.69
2021-11-25,16969.29
2021-11-26,17514.14
2021-11-29,17574.56
2021-11-30,17440.33
2021-12-01,17425.46
2021-12-02,17497.22
2021-12-03,17511.39
2021-12-06,17385.6
2021-12-07,17117.85
2021-12-08,17598.77
2021-12-09,17785.39
2021-12-10,17579.59
2021-12-13,17239.36
2021-12-14,17540.56
2021-12-15,17762.98
2021-12-16,18165.67
2021-12-17,18273.37
2021-12-20,18087.22
2021-12-21,17749.5
2021-12-22,17367.02
2021-12-23,17334.79
2021-12-24,17115.37
2021-12-27,17117.77
2021-12-28,17322.04
2021-12-29,17157.16
2021-12-30,17204.26
2022-01-03,17397.56
2022-01-04,17036.28
2022-01-05,16520.93
2022-01-06,15954.95
2022-01-07,16192.98
2022-01-10,16172.26
2022-01-11,16351.39
2022-01-12,16613.75
2022-01-13,16482.51
2022-01-14,15848.04
2022-01-17,15343.43
2022-01-18,14989.17
2022-01-19,15135.89
2022-01-20,15193.13
2022-01-21,15112.78
2022-01-24,14994.06
2022-01-25,14412.89
2022-01-26,14136.98
2022-01-27,13406.05
2022-01-28,13854.84
2022-02-03,14444.39
2022-02-04,14507.46
2022-02-07,14430.62
2022-02-08,14802.46
2022-02-09,14550.1
2022-02-10,14563.39
2022-02-11,14202.27
2022-02-14,14275.6
2022-02-15,13764.49
2022-02-16,14179.68
2022-02-17,14182.37
2022-02-18,14178.28
2022-02-21,14377.01
2022-02-22,14426.68
2022-02-23,14356.23
2022-02-24,13942.52
2022-02-25,14258.51
2022-02-28,14623.43
2022-03-02,14511.16
2022-03-03,14952.87
2022-03-04,14758.57
2022-03-07,14599.04
2022-03-08,14769.57
2022-03-10,15131.67
2022-03-11,15043.18
2022-03-14,15135.81
2022-03-15,15205.15
2022-03-16,15413.26
2022-03-17,15468.56
2022-03-18,15715.46
2022-03-21,15560.69
2022-03-22,15380.36
2022-03-23,15516.38
2022-03-24,15394.4
2022-03-25,15380.71
2022-03-28,15374.97
2022-03-29,15446.83
2022-03-30,15729.12
2022-03-31,15535.97
2022-04-01,15359.51
2022-04-04,15406.69
2022-04-05,15372.67
2022-04-06,15233.36
2022-04-07,15067.23
2022-04-08,15063.19
2022-04-11,14875.16
2022-04-12,14688.16
2022-04-13,14948.81
2022-04-14,15234.31
2022-04-15,15051.33
2022-04-18,15021.08
2022-04-19,15070.02
2022-04-20,14855.48
2022-04-21,14841.91
2022-04-22,14760.27
2022-04-25,14613.17
2022-04-26,14979.69
2022-04-27,15085.07
2022-04-28,15376.49
2022-04-29,15407.75
2022-05-02,15324.64
2022-05-03,15228.37
2022-05-04,14949.24
2022-05-06,14650.5
2022-05-09,14553.9
2022-05-10,14442.6
2022-05-11,14433.03
2022-05-12,14135.45
2022-05-13,14075.62
2022-05-16,13899.59
2022-05-17,13923.63
2022-05-18,14158.54
2022-05-19,14057.92
2022-05-20,14304.16
2022-05-23,14580.29
2022-05-24,14400.96
2022-05-25,14764.37
2022-05-26,14855.58
2022-05-27,14861.56
2022-05-30,14974.62
2022-05-31,15089.3
2022-06-02,14954.94
2022-06-03,15073.8
2022-06-07,14656.15
2022-06-08,14769.2
2022-06-09,14678.38
2022-06-10,14488.41
2022-06-13,14019.38
2022-06-14,13893.23
2022-06-15,13731.58
2022-06-16,13803.37
2022-06-17,14081.64
2022-06-20,13849.25
2022-06-21,13987.11
2022-06-22,13909.85
2022-06-23,13857.72
2022-06-24,14336.13
2022-06-27,14283.4
2022-06-28,14370.39
2022-06-29,14270.7
2022-06-30,14156.5
2022-07-01,13981.03
2022-07-04,14108.4
2022-07-05,14626.08
2022-07-06,14626.0
2022-07-07,15024.05
2022-07-08,14982.06
2022-07-11,15244.62
2022-07-12,15362.45
2022-07-13,15341.41
2022-07-14,15340.03
2022-07-15,15164.77
2022-07-18,15051.72
2022-07-19,15171.53
2022-07-20,15278.43
2022-07-21,15037.93
2022-07-22,15051.69
2022-07-25,15092.55
2022-07-26,15131.38
2022-07-27,15349.36
2022-07-28,15493.59
2022-07-29,15441.21
2022-08-01,15502.87
2022-08-02,15319.42
2022-08-03,15376.36
2022-08-04,15502.67
2022-08-05,15953.91
2022-08-08,16115.32
2022-08-09,16184.2
2022-08-10,16058.04
2022-08-11,16245.22
2022-08-12,16252.29
2022-08-16,16236.0
2022-08-17,15914.45
2022-08-18,15681.26
2022-08-19,15534.07
2022-08-22,15267.86
2022-08-23,14865.76
