날짜,지수
2020-04-20,303.9
2020-04-21,296.76
2020-04-22,297.83
2020-04-23,304.32
2020-04-24,303.07
2020-04-27,307.08
2020-04-28,308.13
2020-04-29,321.52
2020-05-04,325.65
2020-05-06,330.02
2020-05-07,336.1
2020-05-08,337.98
2020-05-11,334.09
2020-05-12,331.11
2020-05-13,330.31
2020-05-14,330.36
2020-05-15,334.94
2020-05-18,321.73
2020-05-19,319.72
2020-05-20,321.19
2020-05-21,320.28
2020-05-22,314.85
2020-05-25,316.03
2020-05-26,318.62
2020-05-27,320.89
2020-05-28,317.21
2020-05-29,315.86
2020-06-01,319.76
2020-06-02,322.84
2020-06-03,321.08
2020-06-04,319.59
2020-06-05,321.44
2020-06-08,322.08
2020-06-09,320.99
2020-06-10,319.53
2020-06-11,314.71
2020-06-12,309.59
2020-06-15,294.18
2020-06-16,306.2
2020-06-17,304.14
2020-06-18,304.56
2020-06-19,308.04
2020-06-22,307.44
2020-06-23,303.56
2020-06-24,303.28
2020-06-25,299.68
2020-06-26,299.92
2020-06-29,293.95
2020-06-30,295.91
2020-07-01,293.87
2020-07-02,295.12
2020-07-03,297.13
2020-07-06,297.79
2020-07-07,299.54
2020-07-08,300.84
2020-07-09,301.86
2020-07-10,298.14
2020-07-13,300.9
2020-07-14,302.68
2020-07-15,306.97
2020-07-16,307.48
2020-07-17,306.87
2020-07-20,304.76
2020-07-21,304.83
2020-07-22,307.59
2020-07-23,303.88
2020-07-24,300.99
2020-07-27,305.53
2020-07-28,304.83
2020-07-29,305.7
2020-07-30,307.43
2020-07-31,304.87
2020-08-03,306.62
2020-08-04,308.33
2020-08-05,308.78
2020-08-06,307.96
2020-08-07,308.65
2020-08-10,309.54
2020-08-11,311.29
2020-08-12,309.75
2020-08-13,312.14
2020-08-14,309.9
2020-08-18,304.48
2020-08-19,300.92
2020-08-20,290.92
2020-08-21,291.76
2020-08-24,293.15
2020-08-25,297.78
2020-08-26,300.72
2020-08-27,301.06
2020-08-28,316.3
2020-08-31,312.71
2020-09-01,312.78
2020-09-02,324.13
2020-09-03,321.65
2020-09-04,319.63
2020-09-07,324.93
2020-09-08,322.06
2020-09-09,325.68
2020-09-10,329.05
2020-09-11,329.66
2020-09-14,330.99
2020-09-15,329.08
2020-09-16,328.73
2020-09-17,326.11
2020-09-18,331.54
2020-09-21,321.99
2020-09-22,312.52
2020-09-23,319.54
2020-09-24,310.7
2020-09-25,311.69
2020-09-28,318.13
2020-09-29,321.13
2020-10-05,322.38
2020-10-06,323.16
2020-10-07,330.23
2020-10-08,331.06
2020-10-12,335.66
2020-10-13,333.88
2020-10-14,338.81
2020-10-15,342.42
2020-10-16,336.55
2020-10-19,342.58
2020-10-20,341.72
2020-10-21,342.47
2020-10-22,335.54
2020-10-23,340.1
2020-10-26,330.78
2020-10-27,334.67
2020-10-28,338.08
2020-10-29,338.73
2020-10-30,330.36
2020-11-02,335.25
2020-11-03,336.13
2020-11-04,332.28
2020-11-05,338.06
2020-11-06,341.26
2020-11-09,350.06
2020-11-10,346.91
2020-11-11,344.55
2020-11-12,349.57
2020-11-13,355.01
2020-11-16,356.86
2020-11-17,347.21
2020-11-18,352.82
2020-11-19,356.24
2020-11-20,355.7
2020-11-23,360.35
2020-11-24,360.91
2020-11-25,354.18
2020-11-26,365.22
2020-11-27,383.41
2020-11-30,418.97
2020-12-01,408.73
2020-12-02,402.85
2020-12-03,398.77
2020-12-04,410.47
2020-12-07,409.65
2020-12-08,403.56
2020-12-09,398.76
2020-12-10,400.51
2020-12-11,404.36
2020-12-14,407.02
2020-12-15,401.87
2020-12-16,417.89
2020-12-17,421.66
2020-12-18,422.53
2020-12-21,424.35
2020-12-22,407.44
2020-12-23,397.26
2020-12-24,396.45
2020-12-28,385.04
2020-12-29,389.24
2020-12-30,392.31
2021-01-04,389.5
2021-01-05,388.85
2021-01-06,391.29
2021-01-07,395.37
2021-01-08,388.24
2021-01-11,383.48
2021-01-12,396.83
2021-01-13,400.75
2021-01-14,394.19
2021-01-15,390.12
2021-01-18,382.97
2021-01-19,395.11
2021-01-20,395.57
2021-01-21,394.37
2021-01-22,395.82
2021-01-25,396.3
2021-01-26,391.81
2021-01-27,391.62
2021-01-28,399.12
2021-01-29,393.32
2021-02-01,397.64
2021-02-02,404.76
2021-02-03,403.52
2021-02-04,407.71
2021-02-05,405.03
2021-02-08,403.56
2021-02-09,398.79
2021-02-10,404.49
2021-02-15,430.69
2021-02-16,451.2
2021-02-17,474.4
2021-02-18,433.2
2021-02-19,424.86
2021-02-22,427.34
2021-02-23,422.14
2021-02-24,411.89
2021-02-25,417.11
2021-02-26,408.53
2021-03-02,410.78
2021-03-03,413.24
2021-03-04,411.66
2021-03-05,410.97
2021-03-08,400.45
2021-03-09,393.09
2021-03-10,387.4
2021-03-11,394.55
2021-03-12,401.53
2021-03-15,402.93
2021-03-16,406.16
2021-03-17,405.46
2021-03-18,411.69
2021-03-19,417.12
2021-03-22,414.8
2021-03-23,419.35
2021-03-24,422.94
2021-03-25,436.56
2021-03-26,439.16
2021-03-29,438.68
2021-03-30,455.46
2021-03-31,451.73
2021-04-01,451.14
2021-04-02,448.06
2021-04-05,449.59
2021-04-06,449.46
2021-04-07,454.48
2021-04-08,458.68
2021-04-09,460.98
2021-04-12,460.22
2021-04-13,474.3
2021-04-14,479.98
2021-04-15,476.71
2021-04-16,477.92
2021-04-19,476.34
2021-04-20,483.75
2021-04-21,489.92
2021-04-22,484.78
2021-04-23,480.85
2021-04-26,475.7
2021-04-27,480.08
2021-04-28,467.96
2021-04-29,472.06
2021-04-30,466.75
2021-05-03,463.4
2021-05-04,463.43
2021-05-06,471.71
2021-05-07,481.94
2021-05-10,491.1
2021-05-11,492.57
2021-05-12,481.27
2021-05-13,472.46
2021-05-14,477.12
2021-05-17,481.42
2021-05-18,479.88
2021-05-20,472.88
2021-05-21,468.32
2021-05-24,461.84
2021-05-25,467.82
2021-05-26,467.4
2021-05-27,467.88
2021-05-28,469.56
2021-05-31,472.44
2021-06-01,476.15
2021-06-02,481.7
2021-06-03,479.2
2021-06-04,478.05
2021-06-07,477.33
2021-06-08,473.58
2021-06-09,469.59
2021-06-10,471.93
2021-06-11,474.45
2021-06-14,488.77
2021-06-15,485.36
2021-06-16,483.77
2021-06-17,484.94
2021-06-18,482.32
2021-06-21,473.3
2021-06-22,478.68
2021-06-23,475.43
2021-06-24,477.07
2021-06-25,477.74
2021-06-28,485.2
2021-06-29,480.97
2021-06-30,486.32
2021-07-01,486.25
2021-07-02,485.03
2021-07-05,479.21
2021-07-06,480.35
2021-07-07,507.67
2021-07-08,493.48
2021-07-09,489.34
2021-07-12,494.2
2021-07-13,493.82
2021-07-14,495.24
2021-07-15,491.46
2021-07-16,496.42
2021-07-19,495.89
2021-07-20,487.16
2021-07-21,485.1
2021-07-22,483.9
2021-07-23,482.26
2021-07-26,480.08
2021-07-27,484.52
2021-07-28,487.19
2021-07-29,487.83
2021-07-30,479.53
2021-08-02,475.91
2021-08-03,472.23
2021-08-04,477.8
2021-08-05,482.09
2021-08-06,480.99
2021-08-09,475.46
2021-08-10,474.46
2021-08-11,478.96
2021-08-12,473.11
2021-08-13,467.05
2021-08-17,448.01
2021-08-18,455.09
2021-08-19,441.18
2021-08-20,425.91
2021-08-23,431.55
2021-08-24,441.06
2021-08-25,445.49
2021-08-26,446.27
2021-08-27,451.79
2021-08-30,451.39
2021-08-31,446.64
2021-09-01,449.44
2021-09-02,448.01
2021-09-03,450.86
2021-09-06,453.53
2021-09-07,451.24
2021-09-08,451.12
2021-09-09,446.46
2021-09-10,447.53
2021-09-13,442.83
2021-09-14,444.45
2021-09-15,441.8
2021-09-16,440.82
2021-09-17,436.35
2021-09-23,428.67
2021-09-24,428.6
2021-09-27,433.7
2021-09-28,424.4
2021-09-29,418.83
2021-09-30,420.79
2021-10-01,412.54
2021-10-05,398.96
2021-10-06,389.75
2021-10-07,403.37
2021-10-08,404.03
2021-10-12,395.23
2021-10-13,398.82
2021-10-14,404.71
2021-10-15,409.21
2021-10-18,409.89
2021-10-19,409.98
2021-10-20,410.52
2021-10-21,405.98
2021-10-22,421.45
2021-10-25,420.82
2021-10-26,421.92
2021-10-27,420.88
2021-10-28,415.15
2021-10-29,411.64
2021-11-01,410.23
2021-11-02,413.39
2021-11-03,413.28
2021-11-04,409.4
2021-11-05,405.2
2021-11-08,407.68
2021-11-09,405.63
2021-11-10,397.53
2021-11-11,392.03
2021-11-12,399.07
2021-11-15,402.64
2021-11-16,396.67
2021-11-17,392.01
2021-11-18,389.42
2021-11-19,393.99
2021-11-22,398.71
2021-11-23,406.35
2021-11-24,407.84
2021-11-25,402.38
2021-11-26,398.24
2021-11-29,397.74
2021-11-30,376.06
2021-12-01,380.91
2021-12-02,396.07
2021-12-03,400.12
2021-12-06,402.95
2021-12-07,400.83
2021-12-08,402.83
2021-12-09,404.66
2021-12-10,404.6
2021-12-13,404.62
2021-12-14,400.41
2021-12-15,403.62
2021-12-16,405.1
2021-12-17,405.25
2021-12-20,398.21
2021-12-21,397.69
2021-12-22,396.06
2021-12-23,393.41
2021-12-24,396.77
2021-12-27,396.51
2021-12-28,399.49
2021-12-29,401.67
2021-12-30,403.65
2022-01-03,407.58
2022-01-04,408.91
2022-01-05,420.26
2022-01-06,416.14
2022-01-07,419.41
2022-01-10,416.92
2022-01-11,410.98
2022-01-12,413.75
2022-01-13,413.82
2022-01-14,409.19
2022-01-17,404.95
2022-01-18,398.85
2022-01-19,394.73
2022-01-20,399.46
2022-01-21,398.68
2022-01-24,394.62
2022-01-25,380.99
2022-01-26,380.91
2022-01-27,366.3
2022-01-28,375.62
2022-02-03,390.15
2022-02-04,398.67
2022-02-07,398.22
2022-02-08,394.88
2022-02-09,398.27
2022-02-10,398.51
2022-02-11,394.16
2022-02-14,386.71
2022-02-15,387.35
2022-02-16,393.69
2022-02-17,391.93
2022-02-18,395.06
2022-02-21,394.03
2022-02-22,387.81
2022-02-23,391.42
2022-02-24,383.24
2022-02-25,388.88
2022-02-28,390.98
2022-03-02,395.37
2022-03-03,403.5
2022-03-04,403.26
2022-03-07,395.71
2022-03-08,393.28
2022-03-10,397.12
2022-03-11,399.94
2022-03-14,396.19
2022-03-15,392.87
2022-03-16,397.68
2022-03-17,400.94
2022-03-18,402.79
2022-03-21,406.01
2022-03-22,406.53
2022-03-23,407.34
2022-03-24,410.06
2022-03-25,408.19
2022-03-28,410.21
2022-03-29,411.19
2022-03-30,409.76
2022-03-31,409.76
2022-04-01,407.69
2022-04-04,411.06
