날짜,지수
2020-04-20,1326.77
2020-04-21,1301.21
2020-04-22,1302.3
2020-04-23,1304.15
2020-04-24,1292.84
2020-04-27,1334.0
2020-04-28,1338.2
2020-04-29,1419.5
2020-05-04,1385.61
2020-05-06,1422.93
2020-05-07,1417.96
2020-05-08,1420.51
2020-05-11,1403.36
2020-05-12,1377.19
2020-05-13,1383.49
2020-05-14,1369.21
2020-05-15,1368.61
2020-05-18,1388.9
2020-05-19,1439.47
2020-05-20,1446.5
2020-05-21,1472.79
2020-05-22,1422.42
2020-05-25,1445.41
2020-05-26,1472.28
2020-05-27,1480.51
2020-05-28,1494.48
2020-05-29,1442.46
2020-06-01,1486.81
2020-06-02,1540.03
2020-06-03,1616.2
2020-06-04,1579.05
2020-06-05,1606.38
2020-06-08,1608.39
2020-06-09,1576.87
2020-06-10,1580.36
2020-06-11,1554.55
2020-06-12,1522.74
2020-06-15,1447.67
2020-06-16,1520.06
2020-06-17,1524.13
2020-06-18,1535.56
2020-06-19,1530.5
2020-06-22,1520.38
2020-06-23,1496.04
2020-06-24,1504.68
2020-06-25,1445.35
2020-06-26,1443.24
2020-06-29,1400.37
2020-06-30,1420.91
2020-07-01,1436.04
2020-07-02,1438.31
2020-07-03,1439.01
2020-07-06,1462.16
2020-07-07,1459.26
2020-07-08,1455.86
2020-07-09,1461.22
2020-07-10,1430.57
2020-07-13,1492.76
2020-07-14,1486.45
2020-07-15,1516.14
2020-07-16,1540.8
2020-07-17,1593.89
2020-07-20,1567.85
2020-07-21,1605.15
2020-07-22,1604.6
2020-07-23,1562.45
2020-07-24,1538.21
2020-07-27,1555.11
2020-07-28,1556.3
2020-07-29,1550.83
2020-07-30,1548.95
2020-07-31,1564.57
2020-08-03,1570.47
2020-08-04,1657.17
2020-08-05,1705.45
2020-08-06,1711.23
2020-08-07,1702.81
2020-08-10,1807.52
2020-08-11,1795.73
2020-08-12,1800.41
2020-08-13,1799.74
2020-08-14,1757.86
2020-08-18,1703.35
2020-08-19,1721.8
2020-08-20,1647.35
2020-08-21,1677.04
2020-08-24,1680.23
2020-08-25,1752.67
2020-08-26,1732.72
2020-08-27,1694.4
2020-08-28,1711.74
2020-08-31,1689.57
2020-09-01,1722.94
2020-09-02,1773.54
2020-09-03,1768.58
2020-09-04,1731.56
2020-09-07,1757.88
2020-09-08,1740.38
2020-09-09,1696.16
2020-09-10,1704.94
2020-09-11,1715.52
2020-09-14,1731.4
