날짜,지수
2020-04-20,296.88
2020-04-21,300.96
2020-04-22,307.7
2020-04-23,311.09
2020-04-24,303.93
2020-04-27,310.19
2020-04-28,309.32
2020-04-29,310.3
2020-05-04,304.4
2020-05-06,302.08
2020-05-07,304.39
2020-05-08,305.14
2020-05-11,304.18
2020-05-12,310.81
2020-05-13,309.81
2020-05-14,310.04
2020-05-15,308.37
2020-05-18,308.64
2020-05-19,312.23
2020-05-20,313.92
2020-05-21,312.76
2020-05-22,307.44
2020-05-25,311.4
2020-05-26,313.32
2020-05-27,309.67
2020-05-28,310.19
2020-05-29,314.12
2020-06-01,323.48
2020-06-02,324.52
2020-06-03,330.06
2020-06-04,326.86
2020-06-05,323.77
2020-06-08,321.63
2020-06-09,319.69
2020-06-10,317.3
2020-06-11,311.2
2020-06-12,303.39
2020-06-15,291.09
2020-06-16,302.2
2020-06-17,299.08
2020-06-18,298.08
2020-06-19,299.39
2020-06-22,301.28
2020-06-23,299.54
2020-06-24,299.21
2020-06-25,294.06
2020-06-26,301.9
2020-06-29,298.2
2020-06-30,302.92
2020-07-01,311.32
2020-07-02,317.52
2020-07-03,313.69
2020-07-06,318.15
2020-07-07,311.4
2020-07-08,310.13
2020-07-09,309.19
2020-07-10,306.1
2020-07-13,308.17
2020-07-14,312.39
2020-07-15,312.46
2020-07-16,311.53
2020-07-17,310.26
2020-07-20,309.61
2020-07-21,308.0
2020-07-22,306.88
2020-07-23,301.36
2020-07-24,296.56
2020-07-27,297.41
2020-07-28,303.26
2020-07-29,306.33
2020-07-30,308.68
2020-07-31,308.17
2020-08-03,305.6
2020-08-04,312.2
2020-08-05,313.57
2020-08-06,308.83
2020-08-07,316.56
2020-08-10,328.67
2020-08-11,327.21
2020-08-12,335.62
2020-08-13,335.32
2020-08-14,330.66
2020-08-18,318.51
2020-08-19,320.7
2020-08-20,313.94
2020-08-21,323.08
2020-08-24,329.35
2020-08-25,337.09
2020-08-26,337.01
2020-08-27,332.75
2020-08-28,330.28
2020-08-31,334.42
2020-09-01,329.52
2020-09-02,330.32
2020-09-03,328.56
2020-09-04,323.79
2020-09-07,329.47
2020-09-08,328.44
2020-09-09,324.11
2020-09-10,325.72
2020-09-11,328.26
2020-09-14,334.56
2020-09-15,331.86
2020-09-16,328.43
2020-09-17,328.98
2020-09-18,328.7
2020-09-21,324.77
2020-09-22,320.18
2020-09-23,316.02
2020-09-24,311.23
2020-09-25,310.74
