날짜,지수
2020-04-20,3955.47
2020-04-21,3952.39
2020-04-22,3969.32
2020-04-23,4107.02
2020-04-24,4044.57
2020-04-27,4080.06
2020-04-28,4085.2
2020-04-29,4146.89
2020-05-04,4020.07
2020-05-06,4070.97
2020-05-07,4072.63
2020-05-08,4101.53
2020-05-11,4056.8
2020-05-12,3977.71
2020-05-13,4040.82
2020-05-14,4017.34
2020-05-15,4038.8
2020-05-18,4059.66
2020-05-19,4146.29
2020-05-20,4153.21
2020-05-21,4212.13
2020-05-22,4137.79
2020-05-25,4185.26
2020-05-26,4340.27
2020-05-27,4307.79
2020-05-28,4239.24
2020-05-29,4228.92
2020-06-01,4294.92
2020-06-02,4314.87
2020-06-03,4397.44
2020-06-04,4441.83
2020-06-05,4493.6
2020-06-08,4502.16
2020-06-09,4487.55
2020-06-10,4491.06
2020-06-11,4475.65
2020-06-12,4371.89
2020-06-15,4106.71
2020-06-16,4398.4
2020-06-17,4407.79
2020-06-18,4404.72
2020-06-19,4491.04
2020-06-22,4439.22
2020-06-23,4459.34
2020-06-24,4535.34
2020-06-25,4404.48
2020-06-26,4464.2
2020-06-29,4352.76
2020-06-30,4450.35
2020-07-01,4408.91
2020-07-02,4495.87
2020-07-03,4533.57
2020-07-06,4568.79
2020-07-07,4567.68
2020-07-08,4558.29
2020-07-09,4634.65
2020-07-10,4546.37
2020-07-13,4652.27
2020-07-14,4633.31
2020-07-15,4670.23
2020-07-16,4646.62
2020-07-17,4629.74
2020-07-20,4601.36
2020-07-21,4729.67
2020-07-22,4760.26
2020-07-23,4718.88
2020-07-24,4664.97
2020-07-27,4698.51
2020-07-28,4720.46
2020-07-29,4735.21
2020-07-30,4745.05
2020-07-31,4806.56
2020-08-03,4943.22
2020-08-04,5013.58
2020-08-05,5201.29
2020-08-06,5288.12
2020-08-07,5555.21
2020-08-10,5580.42
2020-08-11,5775.93
2020-08-12,5750.12
2020-08-13,5774.19
2020-08-14,5662.12
2020-08-18,5442.95
2020-08-19,5487.08
2020-08-20,5291.45
